title,imdbid,year,rating,binary
Lulu the Tool,tt0066919,1971,1,0
10 Rillington Place,tt0066730,1971,1,0
"Mary, Queen of Scots",tt0067402,1971,3,1
Mrs. Pollifax - Spy,tt0067451,1971,3,1
Let&#39;s Scare Jessica to Death,tt0067341,1971,3,1
Get Carter,tt0067128,1971,1,0
Nicholas and Alexandra,tt0067483,1971,3,1
Shaft,tt0067741,1971,1,0
Death in Venice,tt0067445,1971,0,0
Bedknobs and Broomsticks,tt0066817,1971,3,1
Lust for a Vampire,tt0067367,1971,3,1
Harold and Maude,tt0067185,1971,3,1
"Last Picture Show, The",tt0067328,1971,2,0
Walkabout,tt0067959,1971,1,0
McCabe &amp; Mrs. Miller,tt0067411,1971,3,1
Klute,tt0067309,1971,3,1
Bello onesto emigrato Australia sposerebbe compaesana illibata,tt0066824,1971,2,0
"House That Dripped Blood, The",tt0065854,1971,3,1
Duel,tt0067023,1971,0,0
THX 1138,tt0066434,1971,0,0
"French Connection, The",tt0067116,1971,1,0
"Lady Hermit, The",tt0067322,1971,3,1
Here Comes Peter Cotton Tail,tt0249577,1971,1,0
Diamonds Are Forever,tt0066995,1971,1,0
"Trojan Women, The",tt0067881,1971,3,1
Mon oncle Antoine,tt0067439,1971,3,1
Taking Off,tt0067820,1971,3,1
"Million Dollar Duck, The",tt0066728,1971,1,0
Frenchie King,tt0067637,1971,3,1
Bananas,tt0066808,1971,1,0
Vampyros Lesbos,tt0066380,1971,3,1
Macbeth,tt0067372,1971,1,0
Wake in Fright,tt0067541,1971,1,0
Godzilla vs. the Smog Monster (Godzilla vs. Hedorah),tt0067148,1971,3,1
Deliverance,tt0068473,1972,1,0
Last Tango in Paris,tt0070849,1972,3,1
Chloe in the Afternoon,tt0068205,1972,2,0
"Mattei Affair (Il caso Mattei), The",tt0068346,1972,0,0
"Bitter Tears of Petra von Kant , The",tt0068278,1972,3,1
"Last House on the Left, The",tt0068833,1972,3,1
Blacula,tt0068284,1972,3,1
Avanti!,tt0068240,1972,3,1
"Silent Night, Bloody Night",tt0070694,1972,3,1
When Michael Calls,tt0067977,1972,2,0
Solyaris,tt0069293,1972,1,0
Aguirre: The Wrath of God,tt0068182,1972,2,0
"Poseidon Adventure, The",tt0069113,1972,1,0
Sleuth,tt0069281,1972,0,0
"Duscreet Charm of the Bourgeoisie, The",tt0068361,1972,3,1
"L&#39;aventure, c&#39;est l&#39;aventure",tt0066798,1972,0,0
Frenzy,tt0068611,1972,3,1
Prison Girls,tt0244730,1972,3,1
Pink Flamingos,tt0069089,1972,3,1
"Other Side of Underneath, The",tt0201820,1972,3,1
Butterflies Are Free,tt0068326,1972,3,1
Jeremiah Johnson,tt0068762,1972,1,0
"Godfather, The",tt0068646,1972,2,0
1776,tt0068156,1972,1,0
What&#39;s up Doc,tt0069495,1972,2,0
Cabaret,tt0068327,1972,3,1
Wedding in White,tt0069489,1972,3,1
Cries and Whispers (Viskningar och rop),tt0069467,1972,3,1
Travels With My Aunt,tt0069404,1972,3,1
Don&#39;t Torture a Duckling,tt0069019,1972,2,0
Une belle fille comme moi,tt0069442,1972,3,1
"Dawns Here are Quiet, The",tt0068161,1972,3,1
Godzilla vs. Gigan,tt0068371,1972,1,0
Deep Throat,tt0068468,1972,3,1
State of Siege,tt0070959,1972,0,0
Sbatti il mostro in prima pagina,tt0070641,1972,1,0
Ivan Vasilevich menyaet professiyu,tt0070233,1973,1,0
Badlands,tt0069762,1973,0,0
Serpico,tt0070666,1973,1,0
Live and Let Die,tt0070328,1973,1,0
"Spirit of the Beehive, The",tt0070040,1973,3,1
Don&#39;t look now,tt0069995,1973,3,1
"Sting, The",tt0070735,1973,1,0
"Wicker Man, The",tt0070917,1973,3,1
Mean Streets,tt0070379,1973,1,0
El ataque de los muertos sin ojos [Return of the Evil Dead],tt0068232,1973,3,1
A Touch of Class,tt0070819,1973,2,0
"Holy Mountain, The",tt0071615,1973,1,0
"Exorcist, The",tt0070047,1973,3,1
"Legend of Hell House, The",tt0070294,1973,3,1
Lemora: A Child&#39;s Tale Of The Supernatural,tt0070300,1973,3,1
Paper Moon,tt0070510,1973,3,1
A Doll&#39;s House,tt0069987,1973,3,1
Lady Snowblood,tt0158714,1973,3,1
"Satanic Rites of Dracula, The",tt0070634,1973,1,0
World on a Wire,tt0070904,1973,2,0
Sleeper,tt0070707,1973,1,0
Soylent Green,tt0070723,1973,1,0
Don Juan (Or If Don Juan Were a Woman),tt0069990,1973,3,1
High Plains Drifter,tt0068699,1973,1,0
Jesus Christ Superstar,tt0070239,1973,0,0
Payday,tt0069067,1973,2,0
Papillon,tt0070511,1973,0,0
Children Shouldn&#39;t Play with Dead Things,tt0068370,1973,3,1
Godzilla vs. Megalon,tt0070122,1973,0,0
American Graffiti,tt0069704,1973,2,0
Robin Hood,tt0070608,1973,3,1
"Mad Adventures of &#39;Rabbi&#39; Jacob, The",tt0069747,1973,2,0
"Black Mama, White Mama",tt0068282,1973,3,1
A Charlie Brown Thanksgiving,tt0068359,1973,2,0
"Baby, The",tt0069754,1973,3,1
"Crazies, The",tt0069895,1973,3,1
Turkish Delight,tt0070842,1973,3,1
Day for Night,tt0070460,1973,3,1
"Godfather: Part II, The",tt0071562,1974,2,0
"Texas Chain Saw Massacre, The",tt0072271,1974,1,0
"Towering Inferno, The",tt0072308,1974,1,0
Edvard Munch,tt0074462,1974,1,0
Zardoz,tt0070948,1974,2,0
Truck Turner,tt0072325,1974,3,1
Brief Encounter,tt0071247,1974,3,1
Foxy Brown,tt0071517,1974,3,1
Emmanuelle,tt0071464,1974,3,1
Dracula,tt0070003,1974,3,1
"Parallax View, The",tt0071970,1974,0,0
Going Places,tt0072353,1974,2,0
Celine and Julie Go Boating,tt0071381,1974,3,1
"Groove Tube, The",tt0071583,1974,1,0
"Conversation, The",tt0071360,1974,1,0
"Odessa File, The",tt0071935,1974,3,1
"Je, tu, il, elle",tt0071690,1974,3,1
"Legend of the 7 Golden Vampires, The",tt0070297,1974,1,0
Chinatown,tt0071315,1974,2,0
Black Christmas,tt0071222,1974,3,1
Vampyres,tt0072354,1974,3,1
Godzilla vs. Mechagodzilla,tt0071565,1974,1,0
Phantom of the Paradise,tt0071994,1974,0,0
Non si deve profanare il sonno dei morti [The Living Dead at Manchester Morgue],tt0071431,1974,2,0
A Woman Under The Influence,tt0072417,1974,3,1
Young Frankenstein,tt0072431,1974,2,0
"Man with the Golden Gun, The",tt0071807,1974,1,0
Mame,tt0071803,1974,3,1
Dark Star,tt0069945,1974,0,0
Ali: Fear Eats the Soul,tt0071141,1974,3,1
Alice Doesn&#39;t Live Here Anymore,tt0071115,1974,3,1
Death Wish,tt0071402,1974,3,1
Blazing Saddles,tt0071230,1974,1,0
Female Trouble,tt0072979,1974,3,1
Three Days of the Condor,tt0073802,1975,1,0
"Maids, The",tt0071798,1975,3,1
"Rocky Horror Picture Show, The",tt0073629,1975,3,1
"Ironiya sudby, ili S legkim parom!",tt0073179,1975,2,0
Dog Day Afternoon,tt0072890,1975,3,1
Deep Red,tt0073582,1975,3,1
"Sal&ograve; o le 120 giornate di Sodoma [Salo, or the 120 Days of Sodom]",tt0073650,1975,3,1
Love and Death,tt0073312,1975,3,1
A boy and His Dog,tt0072730,1975,0,0
Dialogues of Exiles,tt0071427,1975,3,1
"Mirror, The",tt0072443,1975,3,1
Grey Gardens,tt0073076,1975,3,1
Terror of Mechagodzilla,tt0073373,1975,1,0
Fawlty Towers,tt0072500,1975,3,1
"Story of O, The",tt0073115,1975,3,1
Dersu Uzala,tt0071411,1975,0,0
Monty Python and the Holy Grail,tt0071853,1975,2,0
Tommy,tt0073812,1975,1,0
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",tt0073198,1975,3,1
Dolemite,tt0072895,1975,0,0
Katie Tippel,tt0073233,1975,3,1
Zorro,tt0072448,1975,1,0
"Stepford Wives, The",tt0073747,1975,3,1
Jaws,tt0073195,1975,3,1
Nashville,tt0073440,1975,3,1
Barry Lyndon,tt0072684,1975,1,0
Picnic at Hanging Rock,tt0073540,1975,3,1
One Flew Over the Cuckoo&#39;s Nest,tt0073486,1975,2,0
Switchblade Sisters,tt0073778,1975,3,1
Blonde in Black Leather,tt0073598,1975,3,1
Emmanuelle II,tt0072933,1975,3,1
Small Change,tt0074152,1976,3,1
Carrie,tt0074285,1976,3,1
Rocky,tt0075148,1976,1,0
Revenge Of The Cheerleaders,tt0075137,1976,1,0
Assault on Precinct 13,tt0074156,1976,3,1
Il secondo tragico Fantozzi,tt0075178,1976,1,0
Logan&#39;s Run,tt0074812,1976,2,0
Network,tt0074958,1976,3,1
A Star Is Born,tt0075265,1976,0,0
Bugsy Malone,tt0074256,1976,3,1
"Omen, The",tt0075005,1976,3,1
Silent Movie,tt0075222,1976,1,0
"Outlaw Josey Wales, The",tt0075029,1976,2,0
"Desert of the Tartars, The",tt0074400,1976,0,0
Pascual Duarte,tt0073518,1976,1,0
"Tenant, The",tt0074811,1976,1,0
Family Plot,tt0074512,1976,3,1
In the Realm of the Senses,tt0074102,1976,3,1
Les Douze Travaux d&#146;Ast&eacute;rix (the Twelve Tasks of Asterix),tt0072901,1976,1,0
Sebastiane,tt0075177,1976,1,0
Marathon Man,tt0074860,1976,1,0
"Town That Dreaded Sundown, The",tt0075342,1976,1,0
Silver Streak,tt0075223,1976,1,0
"Man Who Fell to Earth, The",tt0074851,1976,1,0
Taxi Driver,tt0075314,1976,1,0
Murder by Death,tt0074937,1976,3,1
Sparkle,tt0075249,1976,3,1
"Little Girl Who Lives Down the Lane, The",tt0074806,1976,3,1
All the President&#39;s Men,tt0074119,1976,1,0
"Many Adventures of Winnie the Pooh, The",tt0076363,1977,0,0
Close Encounters of the Third Kind,tt0075860,1977,1,0
ABBA: The Movie,tt0075617,1977,1,0
3 Women,tt0075612,1977,3,1
Stroszek,tt0075276,1977,0,0
Suspiria,tt0076786,1977,3,1
A Special Day,tt0076085,1977,2,0
Eraserhead,tt0074486,1977,0,0
"Sentinel, The",tt0076683,1977,3,1
Orca,tt0076504,1977,1,0
"Hills Have Eyes, The",tt0077681,1977,3,1
Desperate Living,tt0075936,1977,3,1
Kingdom of the Spiders,tt0076271,1977,3,1
Sluzhebnyy roman,tt0076727,1977,3,1
"Turning Point, The",tt0076843,1977,3,1
Death Trap!,tt0074455,1977,3,1
"Devil, Probably, The",tt0075938,1977,2,0
A Bridge Too Far,tt0075784,1977,1,0
Pete&#39;s Dragon,tt0076538,1977,2,0
"Goodbye Girl, The",tt0076095,1977,3,1
"Spy Who Loved Me, The",tt0076752,1977,1,0
House,tt0076162,1977,3,1
"36 Crazy Fists, The",tt0076661,1977,0,0
Julia,tt0076245,1977,3,1
Saturday Night Fever,tt0076666,1977,1,0
Martin,tt0077914,1977,1,0
Damnation Alley,tt0075909,1977,0,0
Soldaat van Oranje,tt0076734,1977,1,0
Star Wars,tt0076759,1977,1,0
"Man Who Loved Women, The",tt0076155,1977,1,0
Annie Hall,tt0075686,1977,3,1
A Little Night Music,tt0076319,1977,3,1
"Rescuers, The",tt0076618,1977,3,1
High Anxiety,tt0076141,1977,1,0
"Haunting of Julia, The",tt0074611,1977,3,1
"Kentucky Fried Movie, The",tt0076257,1977,1,0
"Wiz, The",tt0078504,1978,3,1
"Star Wars Holiday Special, The",tt0193524,1978,1,0
Ringing Bell (Chirin no Suzu),tt0306646,1978,0,0
Quel maledetto treno blindato,tt0076584,1978,0,0
Avalanche,tt0077189,1978,2,0
"Shout, The",tt0078259,1978,0,0
Battlestar Galactica,tt0077215,1978,3,1
La cage aux folles,tt0077288,1978,2,0
A Woman Called Moses,tt0078509,1978,3,1
Midnight Express,tt0077928,1978,0,0
I Spit on Your Grave,tt0077713,1978,0,0
Damien: Omen II,tt0077394,1978,2,0
Magic,tt0077889,1978,1,0
Animal House,tt0077975,1978,2,0
Death on the Nile,tt0077413,1978,3,1
Foul Play,tt0077578,1978,3,1
H&ouml;stsonaten,tt0077711,1978,3,1
Watership Down,tt0078480,1978,1,0
Halloween,tt0077651,1978,3,1
"Hound of the Baskervilles, The",tt0076161,1978,3,1
Grease,tt0077631,1978,3,1
Dawn of the Dead,tt0077402,1978,0,0
Within the Woods,tt0078503,1978,3,1
"Deer Hunter, The",tt0077416,1978,1,0
Girlfriends,tt0077613,1978,3,1
Superman,tt0078346,1978,1,0
Interiors,tt0077742,1978,3,1
Days of Heaven,tt0077405,1978,3,1
Jaws 2,tt0077766,1978,2,0
"Lord of the Rings, The",tt0077869,1978,1,0
Starcrash,tt0079946,1978,3,1
"Boys from Brazil, The",tt0077269,1978,1,0
Alien,tt0078748,1979,3,1
"In-Laws, The",tt0079336,1979,3,1
Apocalypse Now,tt0078788,1979,0,0
"China Syndrome, The",tt0078966,1979,3,1
Time After Time,tt0080025,1979,2,0
Star Trek: The Motion Picture,tt0079945,1979,1,0
Kramer vs. Kramer,tt0079417,1979,1,0
Mad Max,tt0079501,1979,3,1
Angels&#39; Brigade,tt0078778,1979,3,1
Rock &#39;n&#39; Roll High School,tt0079813,1979,3,1
Life of Brian,tt0079470,1979,3,1
"Jerk, The",tt0079367,1979,1,0
"Black Hole, The",tt0078869,1979,0,0
Hair,tt0079261,1979,3,1
Tourist Trap,tt0080040,1979,3,1
Quadrophenia,tt0079766,1979,1,0
Being There,tt0078841,1979,2,0
"Marriage of Maria Braun, The",tt0079095,1979,3,1
Meatballs,tt0079540,1979,3,1
Manhattan,tt0079522,1979,1,0
Stalker,tt0079944,1979,1,0
L&#39;hypothese du tableau vole,tt0077707,1979,0,0
My Brilliant Career,tt0079596,1979,3,1
"Frisco Kid, The",tt0079180,1979,1,0
All That Jazz,tt0078754,1979,2,0
"Bell Jar, The",tt0078843,1979,3,1
Phantasm,tt0079714,1979,1,0
Moonraker,tt0079574,1979,1,0
Die Blechtrommel,tt0078875,1979,3,1
"Warriors, The",tt0080120,1979,1,0
"Amityville Horror, The",tt0078767,1979,3,1
Nosferatu the Vampyre,tt0079641,1979,0,0
Escape from Alcatraz,tt0079116,1979,0,0
Rocky II,tt0079817,1979,1,0
Superman II,tt0081573,1980,3,1
La terrazza,tt0081616,1980,3,1
"Nude Bomb, The",tt0081249,1980,1,0
Airplane!,tt0080339,1980,3,1
Cruising,tt0080569,1980,0,0
Friday the 13th,tt0080761,1980,3,1
"Blue Lagoon, The",tt0080453,1980,0,0
Heaven&#39;s Gate,tt0080855,1980,0,0
Moskva slezam ne verit,tt0079579,1980,3,1
Fame,tt0080716,1980,3,1
Raging Bull,tt0081398,1980,1,0
Private Benjamin,tt0081375,1980,3,1
"Pepi, Luci, Bom and Other Girls Like Mom",tt0081323,1980,3,1
Nine to Five,tt0080319,1980,3,1
Cannibal Holocaust,tt0078935,1980,1,0
Atlantic City,tt0080388,1980,3,1
"Shining, The",tt0081505,1980,2,0
"Ninth Configuration, The",tt0081237,1980,0,0
Nightmare City,tt0080931,1980,3,1
"Final Countdown, The",tt0080736,1980,0,0
Flash Gordon,tt0080745,1980,3,1
Somewhere in Time,tt0081534,1980,2,0
Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,0,0
Can&#39;t Stop the Music,tt0080492,1980,3,1
Resurrection,tt0081414,1980,1,0
Xanadu,tt0081777,1980,3,1
Ordinary People,tt0081283,1980,2,0
Coal Miner&#39;s Daughter,tt0080549,1980,3,1
Any Which Way You Can,tt0080377,1980,1,0
Little Darlings,tt0081060,1980,3,1
"Fog, The",tt0080749,1980,3,1
Loose Shoes,tt0076582,1980,1,0
"Blues Brothers, The",tt0080455,1980,1,0
Fade to Black,tt0080711,1980,3,1
Maniac,tt0081114,1980,3,1
"King and the Mockingbird, The",tt0079820,1980,0,0
Battle Beyond the Stars,tt0080421,1980,2,0
"Mirror Crack&#39;d, The",tt0081163,1980,3,1
Ms. 45,tt0082776,1981,3,1
Outland,tt0082869,1981,1,0
Halloween II,tt0082495,1981,3,1
Reds,tt0082979,1981,3,1
Looker,tt0082677,1981,1,0
Blow Out,tt0082085,1981,3,1
"Marva Collins Story, The",tt0082719,1981,1,0
Shock Treatment,tt0083067,1981,3,1
Diva,tt0082269,1981,1,0
Horror Planet,tt0084090,1981,3,1
Polyester,tt0082926,1981,3,1
Raiders of the Lost Ark,tt0082971,1981,3,1
Christiane F. - Wir Kinder vom Bahnhof Zoo,tt0082176,1981,3,1
Das Boot,tt0082096,1981,0,0
Friday the 13th Part 2,tt0082418,1981,2,0
Galaxy of Terror,tt0082431,1981,3,1
...E tu vivrai nel terrore! L&#39;aldila (The Beyond),tt0082307,1981,3,1
Stripes,tt0083131,1981,2,0
Quest for Fire,tt0082484,1981,1,0
Umrao Jaan,tt0083248,1981,3,1
"Great Muppet Caper, The",tt0082474,1981,3,1
An American Werewolf in London,tt0082010,1981,2,0
Pennies from Heaven,tt0082894,1981,1,0
"Fox and the Hound, The",tt0082406,1981,2,0
Rich and Famous,tt0082992,1981,3,1
"Woman Next Door, The",tt0082370,1981,3,1
Time Bandits,tt0081633,1981,1,0
Ragtime,tt0082970,1981,2,0
Gregory&#39;s Girl,tt0082477,1981,3,1
Il marchese del Grillo,tt0082714,1981,3,1
Happy Birthday to Me,tt0082498,1981,3,1
For Your Eyes Only,tt0082398,1981,3,1
"Howling, The",tt0082533,1981,3,1
"Evil Dead, The",tt0083907,1981,1,0
Body Heat,tt0082089,1981,2,0
Escape from New York,tt0082340,1981,0,0
History of the World: Part I,tt0082517,1981,1,0
Heavy Metal,tt0082509,1981,1,0
Clash of the Titans,tt0082186,1981,3,1
Lady Chatterley&#39;s Lover,tt0082640,1981,3,1
Mommy Dearest,tt0082766,1981,3,1
Southern Comfort,tt0083111,1981,0,0
My Dinner With Andre,tt0082783,1981,0,0
"Prowler, The",tt0082951,1981,3,1
Chariots of Fire,tt0082158,1981,1,0
Dragonslayer,tt0082288,1981,1,0
Der subjektive Faktor,tt0083137,1981,3,1
La fuga de Segovia,tt0082424,1981,0,0
Sophie&#39;s Choice,tt0084707,1982,3,1
48 Hrs.,tt0083511,1982,2,0
"Dark Crystal, The",tt0083791,1982,1,0
Forbidden World,tt0083959,1982,3,1
"Thing, The",tt0084787,1982,0,0
"Secret of NIMH, The",tt0084649,1982,3,1
Deathtrap,tt0083806,1982,3,1
Koyaanisqatsi,tt0085809,1982,0,0
Smithereens,tt0084698,1982,3,1
First Blood,tt0083944,1982,0,0
Frances,tt0083967,1982,3,1
"Best Little Whorehouse in Texas, The",tt0083642,1982,3,1
Friday the 13th Part III,tt0083972,1982,3,1
Missing,tt0084335,1982,3,1
"Last American Virgin, The",tt0084234,1982,3,1
Swamp Thing,tt0084745,1982,2,0
"Fits, The",tt4238858,1982,1,0
Evil Under the Sun,tt0083908,1982,3,1
Liquid Sky,tt0085852,1982,3,1
TRON,tt0084827,1982,0,0
Godard&#39;s Passion,tt0084481,1982,3,1
Tootsie,tt0084805,1982,1,0
"King of Comedy, The",tt0085794,1982,1,0
Annie,tt0083564,1982,3,1
Star Trek: The Wrath of Khan,tt0084726,1982,3,1
Grease 2,tt0084021,1982,3,1
Poltergeist,tt0084516,1982,3,1
Countryman,tt0083762,1982,0,0
Banana Joe,tt0082045,1982,0,0
Pink Floyd The Wall,tt0084503,1982,0,0
Finye (The Wind),tt0083942,1982,3,1
"Slumber Party Massacre, The",tt0084695,1982,3,1
Porky&#39;s,tt0084522,1982,2,0
Conan the Barbarian,tt0082198,1982,1,0
