title,imdbid,year,rating,binary,Country,Plot,Production,Rated,Genre,Writer,Director,imdbRating
La Dolce Vita,tt0053779,1960,2,0,"Italy, France",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,American International Picture,NOT RATED,"Comedy, Drama","Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Brunello Rondi (contributing writer)",Federico Fellini,8.1
Les yeux sans visage,tt0053459,1960,3,1,"France, Italy","A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",Criterion Collection,NOT RATED,"Drama, Horror","Jean Redon (novel), Pierre Boileau (adaptation), Thomas Narcejac (adaptation), Jean Redon (adaptation), Claude Sautet (adaptation), Pierre Gascar (dialogue)",Georges Franju,7.8
Late Autumn,tt0053579,1960,3,1,Japan,A widow tries to marry off her daughter with the help of her late husband's three friends.,CJ Entertainment,NOT RATED,"Comedy, Drama","Ton Satomi (novel), Kôgo Noda (screenplay), Yasujirô Ozu (screenplay)",Yasujirô Ozu,8.2
"Story of Ruth, The",tt0054343,1960,3,1,USA,"Inspired by the scriptural tale. Moabitess priestess Ruth is drawn both to a Judean man and to his talk of a forgiving God. After tragedy strikes, she begins a new life in Bethlehem.",Fox,NOT RATED,"Drama, History",Norman Corwin,Henry Koster,6.8
Let&#39;s Make Love,tt0054022,1960,2,0,USA,"When billionaire Jean-Marc Clement learns that he is to be satirized in an off-Broadway revue, he passes himself off as an actor playing him in order to get closer to the beautiful star of the show, Amanda Dell.",20th Century Fox,NOT RATED,"Comedy, Musical, Romance","Norman Krasna (written for the screen by), Hal Kanter (additional material)",George Cukor,6.5
Body in the Web,tt0054333,1960,3,1,West Germany,"Survivors of a plane crash on a remote island find it is covered by spiders. When bitten, the survivors start turning into spiders!",Intercontinental Films,UNRATED,Horror,"Fritz Böttger, Eldon Howard, Albert G. Miller",Fritz Böttger,2.4
Make Mine Mink,tt0054049,1960,3,1,UK,"Zany collection of misfits led by aging military man (Terry-Thomas) go on a spree of robbing mink coats. An unlikely trio of women (Athene Seyler, Hattie Jacques, and Elspeth Duxbury) find ...",J. Arthur Rank Productions,NOT RATED,Comedy,"Peter Coke (play), Michael Pertwee (screenplay), Peter Blackmore (additional dialogue)",Robert Asher,7.1
Zazie dans le metro,tt0054494,1960,3,1,France,"This merry farce depicts a satirical view of the French society: Ten-year-old Zazie has to stay two days with her relatives in Paris, so that her mother can spend some time with her lover. ...",Criterion Collection,NOT RATED,"Comedy, Fantasy","Raymond Queneau (novel), Louis Malle, Jean-Paul Rappeneau",Louis Malle,7.1
Shoot the Piano Player,tt0054389,1960,2,0,France,"Charlie Kohler is a piano player in a bar. The waitress Lena is in love with him. One of Charlie's brother, Chico, a crook, takes refuge in the bar because he is chased by two gangsters, ...",Criterion Collection,NOT RATED,"Crime, Drama, Thriller","David Goodis (novel), François Truffaut (adaptation), Marcel Moussy (adaptation), François Truffaut (dialogue)",François Truffaut,7.6
Peeping Tom,tt0054167,1960,2,0,UK,"A young man murders women, using a movie camera to film their dying expressions of terror.",Astor Pictures Corporation,NOT RATED,"Crime, Drama, Horror, Thriller","Leo Marks (original story), Leo Marks (screenplay)",Michael Powell,7.7
"Brides of Dracula, The",tt0053677,1960,3,1,UK,"Vampire hunter Van Helsing returns to Transylvania to destroy handsome bloodsucker Baron Meinster, who has designs on beautiful young schoolteacher Marianne.",Universal-International,UNRATED,Horror,"Jimmy Sangster (screenplay), Peter Bryan (screenplay), Edward Percy (screenplay)",Terence Fisher,6.8
La ciociara,tt0054749,1960,3,1,"Italy, France","In the Italy of WWII, a widow and her lonely daughter seek for distance between them and the horrors of war.",Madacy Entertainment,N/A,"Drama, War","Alberto Moravia (novel), Cesare Zavattini (adaptation)",Vittorio De Sica,7.9
"Truth, The",tt0054452,1960,3,1,"France, Italy","Dominique Marceau is on trial for the murder of Gilbert Tellier. The counsels duel relentlessly, elaborating explanations for why the pretty, idle and fickle girl killed the talented and ...",Han Productions,N/A,Drama,"Henri-Georges Clouzot (scenario), Simone Drieu (scenario), Michèle Perrein (scenario), Jérôme Géronimi (scenario), Christiane Rochefort (scenario), Véra Clouzot (scenario)",Henri-Georges Clouzot,7.6
Black Sunday,tt0054067,1960,3,1,Italy,"A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant, with only the girl's brother and a handsome doctor standing in her way.",American International Picture,NOT RATED,Horror,"Ennio De Concini (screenplay), Mario Serandrei (screenplay), Nikolay Gogol (from a tale by), George Higgins (English dialogue written by)",Mario Bava,7.3
Testament of Orpheus,tt0054377,1960,1,0,France,"The Poet looks back over his life and work, recalling his inspirations and obsessions.",N/A,NOT RATED,Biography,Jean Cocteau,Jean Cocteau,7.4
Spartacus,tt0054331,1960,2,0,USA,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,Universal Pictures,PASSED,"Adventure, Biography, Drama, History, War","Dalton Trumbo (screenplay), Howard Fast (based on the novel by)",Stanley Kubrick,7.9
"Apartment, The",tt0053604,1960,3,1,USA,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",United Artists,NOT RATED,"Comedy, Drama, Romance","Billy Wilder, I.A.L. Diamond",Billy Wilder,8.3
Where the Boys Are,tt0054469,1960,2,0,USA,"Four very different college girls drive to Fort Lauderdale, Florida for spring break and seek out various adventures and romance for themselves.",WARNER BROTHERS PICTURES,APPROVED,"Comedy, Drama, Romance","George Wells (screen play), Glendon Swarthout (novel)",Henry Levin,6.7
Le Trou,tt0054407,1960,0,0,"France, Italy",In prison four long-sentence inmates planning an elaborate escape cautiously induct a new inmate to join in their scheme which leads to distrust and uncertainty.,Filmsonor Productions,NOT RATED,"Crime, Drama, Thriller","José Giovanni (novel), Jacques Becker (adaptation), José Giovanni (adaptation), Jean Aurel (adaptation), Jacques Becker (dialogue), José Giovanni (dialogue)",Jacques Becker,8.5
"One, Two, Three",tt0055256,1961,3,1,USA,"In West Berlin during the Cold War, a Coca-Cola executive is given the task of taking care of his boss' socialite daughter.",MGM Home Entertainment,NOT RATED,Comedy,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Ferenc Molnár (play)",Billy Wilder,8.0
"Misfits, The",tt0055184,1961,3,1,USA,A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically independent lifestyle.,United Artists,NOT RATED,"Drama, Romance, Western",Arthur Miller (screenplay),John Huston,7.4
Paris Blues,tt0055278,1961,3,1,USA,"During the 1960s, two American ex-pat jazz musicians living in Paris meet and fall in-love with two American tourist girls.",United Artists,APPROVED,"Drama, Music, Romance","Jack Sher (screenplay), Irene Kamp (screenplay), Walter Bernstein (screenplay), Lulla Rosenfeld (adaptation), Harold Flender (based upon a novel by)",Martin Ritt,6.7
West Side Story,tt0055614,1961,3,1,USA,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",United Artists Films,NOT RATED,"Crime, Drama, Musical, Romance","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)","Jerome Robbins, Robert Wise",7.6
One Hundred and One Dalmatians,tt0055254,1961,3,1,USA,"When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.",Buena Vista,G,"Animation, Adventure, Comedy, Family","Bill Peet (story), Dodie Smith (novel)","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman",7.2
Breakfast at Tiffany&#39;s,tt0054698,1961,2,0,USA,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Paramount Pictures,NOT RATED,"Comedy, Drama, Romance","Truman Capote (based on the novel by), George Axelrod (screenplay)",Blake Edwards,7.7
"Hustler, The",tt0054997,1961,0,0,USA,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Fox,NOT RATED,"Drama, Sport","Sidney Carroll (screenplay), Robert Rossen (screenplay), Walter Tevis (based on the novel by)",Robert Rossen,8.0
"Phantom Planet, The",tt0055294,1961,0,0,USA,"After an invisible asteroid draws an astronaut and his ship to its surface, he is miniaturized by the phantom planet's exotic atmosphere.",American International Pictures (AIP),UNRATED,"Action, Adventure, Sci-Fi","William Telaak (screenplay), Fred De Gorter (screenplay), Fred Gebhardt (screenplay), Fred Gebhardt (original story), William Marshall (additional dialogue)",William Marshall,3.3
A Woman Is a Woman,tt0055572,1961,0,0,"France, Italy","A French striptease artist is desperate to become a mother. When her reluctant boyfriend suggests that his best friend impregnate her, feelings become complicated when she accepts.",Rialto Pictures,NOT RATED,"Comedy, Drama, Romance",Jean-Luc Godard,Jean-Luc Godard,7.6
"Curse of the Werewolf, The",tt0054777,1961,3,1,UK,"In 18th Century Spain, an adopted boy becomes a werewolf and terrorizes the inhabitants of his town.",Universal Pictures,APPROVED,Horror,"Anthony Hinds (screenplay), Guy Endore (novel)",Terence Fisher,6.8
"Beast of Yucca Flats, The",tt0054673,1961,0,0,USA,A defecting Soviet scientist is hit by a nuclear explosion near Yucca Flats and roams around as a beast.,Crown International Pictures,UNRATED,"Horror, Sci-Fi",Coleman Francis,Coleman Francis,2.4
A Raisin in the Sun,tt0055353,1961,3,1,USA,A substantial insurance payment could mean either financial salvation or personal ruin for a poor black family.,Sony Pictures Home Entertainment,APPROVED,Drama,"Lorraine Hansberry (play), Lorraine Hansberry (screenplay)",Daniel Petrie,8.1
A Taste of Honey,tt0055506,1961,3,1,UK,"A pregnant teenage girl must fend for herself when her mother remarries, leaving the girl with only a new male friend for support.",Westchester Films,NOT RATED,Drama,"Shelagh Delaney (screenplay), Tony Richardson (screenplay), Shelagh Delaney (adapted from the play by)",Tony Richardson,7.6
"Parent Trap, The",tt0055277,1961,3,1,USA,Teenage twin sisters swap places and scheme to reunite their divorced parents.,Buena Vista Distribution Company,G,"Comedy, Family, Romance","Erich Kästner (book), David Swift (written for the screen by)",David Swift,7.1
La Notte,tt0054130,1961,3,1,"Italy, France",A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,Nepi Film,NOT RATED,Drama,"Michelangelo Antonioni (story), Ennio Flaiano (story), Tonino Guerra (story), Michelangelo Antonioni (screenplay), Ennio Flaiano (screenplay), Tonino Guerra (screenplay)",Michelangelo Antonioni,8.0
Through a Glass Darkly,tt0055499,1961,0,0,Sweden,"Recently released from a mental hospital; Karin rejoins her emotionally disconnected family and their island home, only to slip from reality as she begins to believe she is being visited by God.",Criterion Collection,NOT RATED,Drama,Ingmar Bergman,Ingmar Bergman,8.1
"Innocents, The",tt0055018,1961,3,1,UK,A young governess for two children becomes convinced that the house and grounds are haunted.,Fox,NOT RATED,Horror,"Henry James (based on the story ""The Turn of the Screw""), John Mortimer (additional scenes & dialogue), William Archibald (screenplay), Truman Capote (screenplay)",Jack Clayton,7.9
"Guns of Navarone, The",tt0054953,1961,1,0,"USA, UK",A British team is sent to cross occupied Greek territory and destroy the massive German gun emplacement that commands a key sea channel.,Columbia Pictures,TV-PG,"Action, Adventure, Drama, War","Alistair MacLean (novel), Carl Foreman (written for the screen by)",J. Lee Thompson,7.6
"Leon Morin, Priest",tt0055082,1961,3,1,"France, Italy","Set during occupied France, a faithless woman finds herself falling in love with a young priest.",Rialto Pictures,NOT RATED,"Drama, Romance","Béatrix Beck (based on the novel by), Jean-Pierre Melville (adaptation)",Jean-Pierre Melville,7.8
Yojimbo,tt0055630,1961,1,0,Japan,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Criterion Collection,NOT RATED,"Action, Drama, Thriller","Akira Kurosawa (story), Akira Kurosawa (screenplay), Ryûzô Kikushima (screenplay)",Akira Kurosawa,8.3
Underworld U.S.A.,tt0055571,1961,3,1,USA,"Fourteen-year-old Tolly Devlin sees four hoods beat his father to death. Twenty years later, the killers have risen to the top of the crime syndicate and Tolly has a plan for revenge.",Sony Pictures Entertainment,NOT RATED,"Crime, Drama, Thriller",Samuel Fuller,Samuel Fuller,7.5
"Children&#39;s Hour, The",tt0054743,1961,3,1,USA,A troublemaking student at a girls' school accuses two teachers of being lesbians.,MGM Home Entertainment,NOT RATED,"Drama, Romance","Lillian Hellman (play), John Michael Hayes (screenplay), Lillian Hellman (adaptation)",William Wyler,7.8
Splendor in the Grass,tt0055471,1961,3,1,USA,A fragile Kansas girl's love for a handsome young man from the town's most powerful family drives her to heartbreak and madness.,Warner Home Video,NOT RATED,"Drama, Romance",William Inge,Elia Kazan,7.8
Mothra,tt0055198,1961,0,0,Japan,"Shipwreck survivors are found on Beiru Island (Infanto tô), which was previously used for atomic tests. The interior is amazingly free of radiation effects, and they believe that they were ...",Sony Pictures Entertainment,PASSED,"Fantasy, Sci-Fi, Thriller","Shin'ichi Sekizawa (screenplay), Shin'ichirô Nakamura (novel), Takehiko Fukunaga (novel), Yoshie Hotta (novel)",Ishirô Honda,6.6
El Cid,tt0054847,1961,1,0,"Italy, USA",The fabled Spanish hero Rodrigo Diaz (a.k.a. El Cid) overcomes a family vendetta and court intrigue to defend Christian Spain against the Moors.,Miramax,APPROVED,"Adventure, Biography, Drama, History, Romance, War","Fredric M. Frank (story), Philip Yordan (screenplay), Fredric M. Frank (screenplay), Ben Barzman (screenplay)",Anthony Mann,7.3
Blue Hawaii,tt0054692,1961,3,1,USA,"After arriving back in Hawaii from the Army, Chad Gates defies his parents' wishes for him to work at the family business and instead goes to work as a tour guide at his girlfriend's agency.",Paramount Pictures,PG,"Comedy, Musical","Allan Weiss (story), Hal Kanter",Norman Taurog,6.1
Mysterious Island,tt0055207,1961,0,0,"UK, USA",During the Civil War a group of Union soldiers and two Confederates escape the stockade using a hot air balloon and end up on a strange Pacific island.,Columbia Pictures,APPROVED,"Adventure, Family, Fantasy, Sci-Fi","John Prebble (screenplay), Daniel B. Ullman (screenplay), Crane Wilbur (screenplay), Jules Verne (novel)",Cy Endfield,6.8
Snow White and the Three Stooges,tt0055458,1961,3,1,USA,An ice-skating Snow White finds refuge from the Wicked Queen with the Three Stooges.,Fox,APPROVED,"Adventure, Comedy, Family","Noel Langley (screenplay), Elwood Ullman (screenplay), Charles Wick (story)","Walter Lang, Frank Tashlin",5.2
Accattone,tt0054599,1961,3,1,Italy,A pimp with no other means to provide for himself finds his life spiraling out of control when his prostitute is sent to prison.,Water Bearer Films Inc.,NOT RATED,Drama,"Pier Paolo Pasolini (story), Pier Paolo Pasolini (screenplay), Sergio Citti (additional dialogue)",Pier Paolo Pasolini,7.9
Dr. No,tt0055928,1962,1,0,"UK, USA",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,United Artists,PG,"Action, Adventure, Thriller","Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)",Terence Young,7.3
To Kill a Mockingbird,tt0056592,1962,3,1,USA,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Universal International Pictur,NOT RATED,"Crime, Drama","Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)",Robert Mulligan,8.3
Les dimanches de Ville d&#39;Avray,tt0055910,1962,3,1,"France, Austria","After killing a child when his plane crashes in a Vietnamese village, Pierre suffers from delayed stress and partial amnesia. Returning to France, he lives like a vegetable until he meets a...",N/A,NOT RATED,Drama,"Serge Bourguignon (scenario), Antoine Tudal (scenario), Bernard Eschassériaux (novel), Serge Bourguignon (dialogue), Bernard Eschassériaux (dialogue)",Serge Bourguignon,7.8
"Manchurian Candidate, The",tt0056218,1962,1,0,USA,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,MGM/UA Classics,PG-13,"Drama, Thriller","Richard Condon (based upon a novel by), George Axelrod (screenplay)",John Frankenheimer,8.0
"Day of the Triffids, The",tt0055894,1962,3,1,UK,"After an unusual meteor shower leaves most of the human population blind, a merchant navy officer must find a way to conquer tall, aggressive plants which are feeding on people and animals.",Unknown,APPROVED,"Horror, Sci-Fi","Bernard Gordon (screenplay), Philip Yordan (front for Bernard Gordon), John Wyndham (novel)","Steve Sekely, Freddie Francis",6.1
"L-Shaped Room, The",tt0057239,1962,3,1,UK,"A single, pregnant woman moves into a London boarding house where she meets a group of fellow misfits.",Columbia Pictures,N/A,"Drama, Romance","Lynne Reid Banks (novel), Bryan Forbes (written for the screen by)",Bryan Forbes,7.4
Jules and Jim,tt0055032,1962,1,0,France,Decades of a love triangle concerning two friends and an impulsive woman.,Janus Films,NOT RATED,"Drama, Romance","Henri-Pierre Roché (novel), François Truffaut (adaptation), Jean Gruault (adaptation)",François Truffaut,7.9
King Kong vs. Godzilla,tt0056142,1962,3,1,"Japan, USA","A pharmaceutical company captures King Kong and brings him to Japan, where he escapes from captivity and battles a recently released Godzilla.",Toho,APPROVED,"Action, Adventure, Fantasy","Shin'ichi Sekizawa, Paul Mason, Bruce Howard",Ishirô Honda,5.9
Atraco a las tres,tt0055763,1962,1,0,Spain,"Galindo works in a bank. One day he convinces the other employees in the bank to plan a hold-up in the bank they are working. They prepare everything carefully. However, real robbers come ...",N/A,N/A,Comedy,"Pedro Masó (story), Vicente Coello (story), Pedro Masó (screenplay), Vicente Coello (screenplay)",José María Forqué,7.5
Hatari!,tt0056059,1962,3,1,USA,A group of men trap wild animals in Africa and sell them to zoos before the arrival of a female wildlife photographer threatens to change their ways.,Howard Hawks,APPROVED,"Action, Adventure, Drama, Romance","Leigh Brackett (screenplay), Harry Kurnitz (story)",Howard Hawks,7.2
"Trial of Joan of Arc, The",tt0059616,1962,0,0,France,"A reconstruction of the trial of Joan of Arc (based entirely on the transcripts of the real-life trial), concerning Joan's imprisonment, interrogation and final execution at the hands of ...",Criterion Collection,N/A,"Drama, History",Robert Bresson,Robert Bresson,7.6
Lawrence of Arabia,tt0056172,1962,0,0,UK,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Columbia Pictures,PG,"Adventure, Biography, Drama, History, War","T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)",David Lean,8.3
Carnival of Souls,tt0055830,1962,3,1,USA,"After a traumatic accident, a woman becomes drawn to a mysterious abandoned carnival.",Herts-Lion International Corp.,PG,"Horror, Mystery",John Clifford (written),Herk Harvey,7.2
Lolita,tt0056193,1962,3,1,"UK, USA",A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,MGM,NOT RATED,"Crime, Drama, Romance","Vladimir Nabokov (screenplay), Vladimir Nabokov (novel)",Stanley Kubrick,7.6
La Jetee,tt0056119,1962,0,0,France,"The story of a man forced to explore his memories in the wake of World War III's devastation, told through still images.",Criterion Collection,NOT RATED,"Short, Drama, Romance, Sci-Fi",N/A,Chris Marker,8.3
Boccaccio &acute;70,tt0055805,1962,2,0,"Italy, France","Four directors tell tales of Eros fit for a 1970s Decameron. Working-class lovers, Renzo and Luciana, marry but must hide it from her employer; plus, they need a room of their own. A ...",Francinex,UNRATED,"Comedy, Fantasy, Romance","Giovanni Arpino (segment), Italo Calvino (segment), Suso Cecchi D'Amico (segment), Federico Fellini (segment), Ennio Flaiano (segment), Mario Monicelli (segment), Goffredo Parise (segment), Tullio Pinelli (segment), Brunello Rondi (segment), Luchino Visconti (segment), Cesare Zavattini (segment)","Vittorio De Sica, Federico Fellini, Mario Monicelli, Luchino Visconti",7.2
"Devil&#39;s Hand, The",tt0055902,1962,2,0,USA,"A man is haunted by visions of a beautiful woman. When he finally meets her, he winds up involved in a Satanic cult.",Crown International Pictures,UNRATED,Horror,Jo Heims (screenplay),William J. Hole Jr.,4.5
What Ever Happened to Baby Jane?,tt0056687,1962,3,1,USA,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Warner Bros. Pictures,NOT RATED,"Drama, Horror, Thriller","Henry Farrell (from the novel by), Lukas Heller (screenplay)",Robert Aldrich,8.1
Gypsy,tt0056048,1962,3,1,USA,"Based on the Broadway hit about the life and times of burlesque dancer Gypsy Rose Lee and her aggressive stage mother, Mama Rose.",Warner Home Video,APPROVED,"Biography, Comedy, Drama","Arthur Laurents (based upon the stage play: book by), Gypsy Rose Lee (from the memoirs of), Leonard Spigelgass (screenplay)",Mervyn LeRoy,7.2
"Loneliness of the Long Distance Runner, The",tt0056194,1962,3,1,UK,"A juvenile offender at a tough reform school impresses its governor with his running ability and is encouraged to compete in an upcoming race, but faces ridicule from his peers.",Continental,NOT RATED,"Drama, Sport","Alan Sillitoe (screenplay), Alan Sillitoe (adapted from his short story by)",Tony Richardson,7.7
War of the Buttons,tt0054949,1962,0,0,France,The school boys of two villages in France are fighting. Their trophy are the buttons they will snatch from the enemy. This fight will bring those kids to everlasting friendship...eventually.,Comet Films,N/A,"Comedy, Family","Louis Pergaud (novel), François Boyer (adaptation)",Yves Robert,7.5
"Miracle Worker, The",tt0056241,1962,3,1,USA,The story of Anne Sullivan's struggle to teach the blind and deaf Helen Keller how to communicate.,MGM Home Entertainment,NOT RATED,"Biography, Drama","William Gibson (screenplay), William Gibson (based upon the stage play by)",Arthur Penn,8.1
"Brain That Wouldn&#39;t Die, The",tt0052646,1962,2,0,USA,"A doctor experimenting with transplant techniques keeps his girlfriend's head alive when she is decapitated in a car crash, then goes hunting for a new body.",American Pop Classics,APPROVED,"Horror, Sci-Fi","Joseph Green (screenplay), Rex Carlton (original story), Joseph Green (original story)",Joseph Green,4.2
"Music Man, The",tt0056262,1962,3,1,USA,Harold Hill poses as a boys' band leader to con naive Iowa townsfolk.,Warner Bros. Pictures,G,"Comedy, Musical, Romance","Meredith Willson (based on: ""The Music Man""), Franklin Lacey (written in collaboration with), Marion Hargrove (screenplay)",Morton DaCosta,7.7
Ivanovo detstvo,tt0056111,1962,1,0,Soviet Union,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",Shore International,NOT RATED,"Drama, War","Vladimir Bogomolov (story ""Ivan""), Vladimir Bogomolov (screenplay), Mikhail Papava (screenplay)","Andrei Tarkovsky, Eduard Abalov",8.1
"Trial, The",tt0057427,1962,1,0,"France, West Germany, Italy","An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",Gibraltar Films,NOT RATED,"Drama, Mystery, Thriller","Pierre Cholot (adaptation), Franz Kafka (based on the novel by), Orson Welles",Orson Welles,7.8
Cleo from 5 to 7,tt0055852,1962,3,1,"France, Italy","Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",Zenith International Films,NOT RATED,"Comedy, Drama, Music",Agnès Varda,Agnès Varda,8.0
That Touch of Mink,tt0056575,1962,2,0,USA,"A rich businessman and a young woman are attracted to each other, but he only wants an affair while she wants to save her virginity for marriage.",Universal,APPROVED,"Comedy, Romance","Stanley Shapiro, Nate Monaster",Delbert Mann,6.7
Advise &amp; Consent,tt0055728,1962,3,1,USA,"Senate investigation into the President's newly nominated Secretary of State, gives light to a secret from the past, which may not only ruin the candidate, but the President's character as well.",WARNER BROTHERS PICTURES,NOT RATED,"Drama, Thriller","Allen Drury (novel), Wendell Mayes (screenplay)",Otto Preminger,7.8
Cartouche,tt0055832,1962,1,0,"France, Italy","In the 18th century, Louis de Bourguignon is working with the Malichot's gang, but their ways are too 'unethical' for him. He creates his own band, acting under the name of Cartouche, ...",Cinédis,NOT RATED,"Action, Comedy, Adventure","Daniel Boulanger, Philippe de Broca, Charles Spaak",Philippe de Broca,6.7
"Pink Panther, The",tt0057413,1963,1,0,USA,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".",United Artists,NOT RATED,"Comedy, Crime, Romance","Maurice Richlin (screenplay), Blake Edwards (screenplay)",Blake Edwards,7.2
"Move Over, Darling",tt0057329,1963,3,1,USA,"After five years lost at sea, a missing wife thought long dead returns just after her husband remarries.",20th Century Fox,APPROVED,"Comedy, Romance","Hal Kanter (screenplay), Jack Sher (screenplay), Bella Spewack (based on a screenplay by), Sam Spewack (based on a screenplay by), Bella Spewack (story), Sam Spewack (story), Leo McCarey (story)",Michael Gordon,7.0
"Great Escape, The",tt0057115,1963,0,0,USA,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,United Artists,APPROVED,"Adventure, Drama, History, Thriller, War","Paul Brickhill (book), James Clavell (screenplay), W.R. Burnett (screenplay)",John Sturges,8.2
