title,imdbid,year,rating,binary
"Eclipse: Courtship of the Sun and Moon, The",0215737,1907,0,0
Unusual Cooking,1802750,1908,0,0
"Princess Nicotine; or, The Smoke Fairy",0001009,1909,2,0
"Devilish Tenant, The",0127948,1909,0,0
Le barometre de la fidelite,0277596,1909,1,0
A Trip to Mars,1515725,1910,0,0
Tilly the Tomboy Visits the Poor,0232821,1910,3,1
Mobilier fidele,0486978,1910,0,0
"Invaders, The",0002281,1912,0,0
Max and the Donkey,0277865,1912,0,0
Cleopatra,0002101,1912,2,0
Suspense,0003424,1913,0,0
"Voyage of the Bourrichon Family, The",0003512,1913,0,0
A Florida Enchantment,0003973,1914,2,0
"Birth of a Nation, The",0004972,1915,2,0
Lady Windermere&#39;s Fan,0279914,1916,3,1
Intolerance: Love&#39;s Struggle Throughout the Ages,0006864,1916,0,0
Gretchen the Greenhorn,0006745,1916,3,1
"Vagabond, The",0007507,1916,0,0
Snow White,0007361,1916,3,1
"Poor Little Rich Girl, The",0008443,1917,3,1
A Tale of Two Cities,0008652,1917,3,1
Rebecca of Sunnybrook Farm,0008499,1917,3,1
A Romance of the Redwoods,0008519,1917,0,0
"Raffles, the Amateur Cracksman",0008489,1917,2,0
Are Crooks Dishonest?,0008844,1918,0,0
Ich mochte kein Mann sein,0010281,1918,3,1
Tarzan of the Apes,0009682,1918,3,1
Stella Maris,0009652,1918,3,1
Broken Blossoms or The Yellow Man and the Girl,0009968,1919,0,0
When the Clouds Roll by,0010879,1919,3,1
Within Our Gates,0011870,1920,3,1
"Cabinet of Dr. Caligari, The",0010323,1920,0,0
Pollyanna,0011588,1920,3,1
"Blot, The",0011979,1921,3,1
Orphans of the Storm,0012532,1921,3,1
K&ouml;rkarlen (The Phantom Carriage),0012364,1921,2,0
"Kid, The",0012349,1921,0,0
"Phantom, The",0013496,1922,2,0
"Man from Beyond, The",0013367,1922,1,0
"Nosferatu, eine Symphonie des Grauens",0013442,1922,2,0
"Paleface, The",0012543,1922,0,0
Nanook of the North,0013427,1922,1,0
Nathan der Weise,0013428,1922,2,0
H&auml;xan: Witchcraft Through the Ages,0013257,1922,3,1
Foolish Wives,0013140,1922,3,1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",0013086,1922,3,1
"Silent Command, The",0014469,1923,2,0
Our Hospitality,0014341,1923,0,0
Safety Last!,0014429,1923,0,0
Why Worry?,0014611,1923,0,0
La souriante Madame Beudet,0013626,1923,3,1
"Great White Silence, The",1764657,1924,0,0
"Thief of Bagdad, The",0015400,1924,0,0
Help!,0013845,1924,0,0
"Navigator, The",0015163,1924,0,0
Kriemhild&#39;s Revenge,0015174,1924,2,0
Wild Oranges,0015498,1924,0,0
Girl Shy,0014945,1924,0,0
Manhandled,0015116,1924,3,1
Die Nibelungen,0015175,1924,2,0
Sherlock Jr.,0015324,1924,0,0
Greed,0015881,1924,3,1
"Lost World, The",0016039,1925,2,0
Go West,0015863,1925,0,0
Seven Chances,0016332,1925,0,0
Battleship Potemkin,0015648,1925,0,0
Stachka,0015361,1925,0,0
"Freshman, The",0015841,1925,0,0
"Phantom of the Opera, The",0016220,1925,2,0
"Gold Rush, The",0015864,1925,0,0
"Big Parade, The",0015624,1925,2,0
So&#39;s Your Old Man,0017410,1926,3,1
Flesh and the Devil,0016884,1926,1,0
For Heaven&#39;s Sake,0016895,1926,0,0
Die Abenteuer des Prinzen Achmed,0015532,1926,1,0
"Temptress, The",0017449,1926,1,0
"General, The",0017925,1926,0,0
Sunrise: A Song of Two Humans,0018455,1927,2,0
Nevada,0018199,1927,0,0
My Best Girl,0018183,1927,3,1
Abel Gance&#39;s Napoleon,0018192,1927,2,0
Downhill [When Boys Leave Home],0017825,1927,1,0
"Jazz Singer, The",0018037,1927,1,0
It,0018033,1927,3,1
Metropolis,0017136,1927,1,0
"Unknown, The",0018528,1927,0,0
Wings,0018578,1927,2,0
"Kid Brother, The",0018051,1927,0,0
"Cameraman, The",0018742,1928,0,0
"Crowd, The",0018806,1928,1,0
Beggars of Life,0018684,1928,0,0
"Patsy, The",0019258,1928,3,1
While the City Sleeps,0019571,1928,2,0
"Man Who Laughs, The",0019130,1928,2,0
"Circus, The",0018773,1928,0,0
"Racket, The",0019304,1928,0,0
A Girl in Every Port,0018937,1928,0,0
"Passion of Joan of Arc, The",0019254,1928,0,0
Speedy,0019412,1928,0,0
"Steamboat Bill, Jr.",0019421,1928,0,0
"Power of the Press, The",0019290,1928,1,0
"Docks of New York, The",0018839,1928,2,0
Welcome Danger,0020572,1929,0,0
Pandora&#39;s Box (Die B&uuml;chse der Pandora),0018737,1929,3,1
Blackmail,0019702,1929,2,0
"Cocoanuts, The",0019777,1929,2,0
Juno and the Paycock [The Shame of Mary Boyle],0021015,1929,3,1
Throw of the Dice,0020286,1929,0,0
Man with a Movie Camera,0019760,1929,0,0
Un chien andalou,0020530,1929,0,0
Morocco,0021156,1930,1,0
L&#39;Age d&#39;Or,0021577,1930,0,0
All Quiet on the Western Front,0020629,1930,0,0
"Bat Whispers, The",0020668,1930,3,1
"Blue Angel, The",0020697,1930,1,0
Anna Christie,0020641,1930,3,1
Be Yourself,0020670,1930,2,0
Min and Bill,0021148,1930,3,1
Ladies of Leisure,0021040,1930,3,1
Murder!,0021165,1930,3,1
Monkey Business,0022158,1931,1,0
"Cheat, The",0021735,1931,3,1
Pardon Us,0022251,1931,0,0
"Skin Game, The",0022395,1931,3,1
Dracula,0021815,1931,3,1
A Nous la Liberte,0022599,1931,1,0
Anna Christie,0020642,1931,3,1
M&auml;dchen in Uniform,0022183,1931,3,1
Night Nurse,0022208,1931,3,1
Indiscreet,0022000,1931,3,1
Dracula,0021814,1931,2,0
La Chienne,0021739,1931,3,1
Little Caesar,0021079,1931,1,0
"Smiling Lieutenant, The",0022074,1931,2,0
"Last Flight, The",0022054,1931,0,0
City Lights,0021749,1931,3,1
Rich and Strange [East of Shanghai],0023395,1931,2,0
Mata Hari,0023196,1931,3,1
Tabu: A Story of the South Seas,0022458,1931,0,0
M,0022100,1931,3,1
Frankenstein,0021884,1931,1,0
"Public Enemy, The",0022286,1931,3,1
Grand Hotel,0022958,1932,3,1
"Old Dark House, The",0023293,1932,3,1
"Girl from Calgary, The",0022940,1932,2,0
Shanghai Express,0023458,1932,3,1
Horse Feathers,0023027,1932,1,0
Freaks,0022913,1932,2,0
Love Me Tonight,0023158,1932,2,0
Thirteen Women,0023582,1932,3,1
Number 17,0023285,1932,0,0
"Blue Light (Das Blaue Licht), The",0022694,1932,1,0
Boudu Saved from Drowning,0022718,1932,1,0
"I Was Born, But...",0023634,1932,1,0
"Most Dangerous Game, The",0023238,1932,0,0
White Zombie,0023694,1932,0,0
Island of Lost Souls,0024188,1932,1,0
I Am a Fugitive from a Chain Gang,0023042,1932,1,0
Three on a Match,0023590,1932,3,1
Scarface,0023427,1932,1,0
Red-Headed Woman,0023385,1932,3,1
Vampyr,0023649,1932,3,1
Merrily We Go to Hell,0023213,1932,3,1
"Age of Consent, The",0022614,1932,2,0
"Death Kiss, The",0023935,1932,1,0
Alice in Wonderland,0023753,1933,3,1
Footlight Parade,0024028,1933,3,1
Little Women,0024264,1933,3,1
Duck Soup,0023969,1933,1,0
"Private Life of Henry VIII., The",0024473,1933,1,0
"Peanut Vendor, The",0024432,1933,0,0
Gold Diggers of 1933,0024069,1933,3,1
Day of Reckoning,0023932,1933,3,1
Tomorrow at Seven,0024679,1933,3,1
"Vampire Bat, The",0024727,1933,3,1
Female,0024008,1933,3,1
Queen Christina,0024481,1933,3,1
42nd Street,0024034,1933,3,1
King Kong,0024216,1933,0,0
"Invisible Man, The",0024184,1933,1,0
Design for Living,0023940,1933,1,0
Baby Face,0023775,1933,3,1
A Study in Scarlet,0024625,1933,3,1
Anne of Green Gables,0024831,1934,3,1
"Cat&#39;s-Paw, The",0024961,1934,1,0
It Happened One Night,0025316,1934,3,1
"Lost Patrol, The",0025423,1934,0,0
Of Human Bondage,0025586,1934,1,0
Maniac,0025465,1934,3,1
L&#39;atalante,0024844,1934,0,0
"Count of Monte Cristo, The",0025004,1934,1,0
Cleopatra,0024991,1934,1,0
Evelyn Prentice,0025091,1934,3,1
"Man Who Knew Too Much, The",0025452,1934,3,1
"Scarlet Empress, The",0025746,1934,3,1
"Painted Veil, The",0025617,1934,1,0
Lost in the Stratosphere,0025424,1934,2,0
Spitfire,0025822,1934,3,1
Imitation of Life,0025301,1934,3,1
Search for Beauty,0025755,1934,3,1
Naughty Marietta,0026768,1935,3,1
Mutiny on the Bounty,0026752,1935,1,0
Mad Love,0026663,1935,2,0
Magnificent Obsession,0026667,1935,3,1
"Bride of Frankenstein, The",0026138,1935,3,1
A Night At The Opera,0026778,1935,1,0
"39 Steps, The",0026029,1935,3,1
Top Hat,0027125,1935,2,0
Roberta,0026942,1935,3,1
"Lady in Scarlet, The",0026599,1935,2,0
Anna Karenina,0026071,1935,2,0
"Riverside Murder, The",0026939,1935,2,0
"Petrified Forest, The",0028096,1936,3,1
"Mandarin Mystery, The",0029207,1936,3,1
"Only Son, The",0027752,1936,3,1
Camille,0028683,1936,3,1
Osaka Elegy,0028021,1936,3,1
Bullets or Ballots,0027407,1936,3,1
Earthworm Tractors,0027562,1936,1,0
Modern Times,0027977,1936,0,0
Wife vs. Secretary,0028505,1936,2,0
Pennies from Heaven,0028092,1936,3,1
Theodora Goes Wild,0028355,1936,3,1
Swing Time,0028333,1936,1,0
Born to Dance,0027387,1936,3,1
Murder at Glen Athol,0028000,1936,3,1
San Francisco,0028216,1936,1,0
Revolt of the Zombies,0028174,1936,0,0
Romeo and Juliet,0028203,1936,3,1
"Great Ziegfeld, The",0027698,1936,3,1
Mr. Deeds Goes to Town,0027996,1936,3,1
Dracula&#39;s Daughter,0027545,1936,3,1
My Man Godfrey,0028010,1936,2,0
Secret Agent,0028231,1936,3,1
Sabotage,0028212,1936,3,1
"Charge of the Light Brigade, The",0027438,1936,1,0
Fury,0027652,1936,2,0
These Three,0028356,1936,2,0
Il caso Valdemar,3427056,1936,0,0
Conquest,0028739,1937,2,0
Lost Horizon,0029162,1937,2,0
Make Way for Tomorrow,0029192,1937,3,1
Nothing Sacred,0029322,1937,0,0
"Prisoner of Zenda, The",0029442,1937,1,0
Knight Without Armor,0029087,1937,2,0
Murder at the Baskervilles (Silver Blaze),0029565,1937,1,0
Shall We Dance,0029546,1937,1,0
Marked Woman,0029217,1937,3,1
Topper,0029682,1937,2,0
Pepe le Moko,0029453,1937,2,0
Stella Dallas,0029608,1937,3,1
"Girl Was Young, The",0029811,1937,3,1
A Day at the Races,0028772,1937,2,0
Stage Door,0029604,1937,3,1
Snow White and the Seven Dwarfs,0029583,1937,3,1
Parnell,0029377,1937,2,0
"Awful Truth, The",0028597,1937,3,1
"Adventures of Robin Hood, The",0029843,1938,2,0
Four Daughters,0030149,1938,3,1
Angels with Dirty Faces,0029870,1938,1,0
"Lady Vanishes, The",0030341,1938,3,1
Holiday,0030241,1938,3,1
Jezebel,0030287,1938,2,0
Bluebeard&#39;s Eighth Wife,0029929,1938,2,0
"Mr. Wong, Detective",0030473,1938,1,0
"Mad Miss Manton, The",0030396,1938,3,1
"Dawn Patrol, The",0030044,1938,0,0
"Baker&#39;s Wife, The",0030127,1938,1,0
"Sisters, The",0030755,1938,2,0
Boys Town,0029942,1938,0,0
Bringing Up Baby,0029947,1938,3,1
Carefree,0029971,1938,2,0
"Story of Alexander Graham Bell, The",0031981,1939,2,0
Babes in Arms,0031066,1939,3,1
Stagecoach,0031971,1939,3,1
At the Circus,0031060,1939,2,0
Gone with the Wind,0031381,1939,3,1
Juarez,0031516,1939,2,0
Drums Along the Mohawk,0031252,1939,2,0
"Gorilla, The",0031387,1939,3,1
Wuthering Heights,0032145,1939,2,0
"Wizard of Oz, The",0032138,1939,3,1
Ninotchka,0031725,1939,3,1
"Flying Deuces, The",0031322,1939,0,0
"Women, The",0032143,1939,3,1
"Rules of the Game, The",0031885,1939,3,1
Essex and Elizabeth,0031826,1939,2,0
"Hunchback of Notre Dame, The",0031455,1939,0,0
Jesse James,0031507,1939,2,0
Nancy Drew... Reporter,0031709,1939,3,1
Of Mice and Men,0031742,1939,1,0
Dodge City,0031235,1939,2,0
Mr. Wong in Chinatown,0031680,1939,1,0
Jamaica Inn,0031505,1939,3,1
Le jour se l&egrave;ve,0031514,1939,2,0
Dark Victory,0031210,1939,3,1
Young Mr. Lincoln,0032155,1939,2,0
"Goodbye, Mr. Chips",0031385,1939,2,0
Destry Rides Again,0031225,1939,3,1
"Adventures of Sherlock Holmes, The",0031022,1939,3,1
Mr. Smith Goes to Washington,0031679,1939,2,0
Strange Cargo,0033105,1940,0,0
"All This, and Heaven Too",0032194,1940,2,0
"Ape, The",0032215,1940,3,1
"Mortal Storm, The",0032811,1940,3,1
Pinocchio,0032910,1940,1,0
"Philadelphia Story, The",0032904,1940,3,1
Boom Town,0032273,1940,1,0
"Letter, The",0032701,1940,2,0
Fantasia,0032455,1940,0,0
Santa Fe Trail,0033021,1940,1,0
"Sea Hawk, The",0033028,1940,3,1
"Great Dictator, The",0032553,1940,3,1
Gaslight,0031359,1940,3,1
Comrade X,0032349,1940,2,0
Pride and Prejudice,0032943,1940,3,1
"Grapes of Wrath, The",0032551,1940,3,1
"Dance, Girl, Dance",0032376,1940,3,1
His Girl Friday,0032599,1940,3,1
"Last Alarm, The",0032690,1940,3,1
"Shop Around the Corner, The",0033045,1940,3,1
Anne Of Windy Poplars,0032211,1940,3,1
Rebecca,0032976,1940,3,1
"Return of Frank James, The",0032983,1940,0,0
Primrose Path,0032946,1940,3,1
Chamber of Horrors / Door with the Seven Locks,0032406,1940,2,0
"Thief of Bagdad, The",0033152,1940,0,0
A Chump at Oxford,0032339,1940,0,0
Foreign Correspondent,0032484,1940,1,0
Mr. Bug Goes to Town,0033727,1941,1,0
Murder by Invitation,0033928,1941,3,1
Ladies In Retirement,0033802,1941,1,0
Two-Faced Woman,0034328,1941,2,0
"Little Foxes, The",0033836,1941,2,0
"Wolf Man, The",0034398,1941,2,0
Men of Boys Town,0033902,1941,1,0
Sullivan&#39;s Travels,0034240,1941,3,1
"Shanghai Gesture, The",0034175,1941,3,1
Meet John Doe,0033891,1941,3,1
"Maltese Falcon, The",0033870,1941,1,0
Citizen Kane,0033467,1941,1,0
"Devil and Miss Jones, The",0033533,1941,3,1
High Sierra,0033717,1941,1,0
"Lady Eve, The",0033804,1941,2,0
Cheers for Miss Bishop,0033459,1941,3,1
49th Parallel,0033627,1941,0,0
Dumbo,0033563,1941,2,0
Buck Privates,0033436,1941,3,1
Hold That Ghost,0033723,1941,3,1
Suspicion,0034248,1941,3,1
Tales of Manhattan,0035415,1942,2,0
Black Dragons,0034521,1942,0,0
"Now, Voyager",0035140,1942,3,1
Casablanca,0034583,1942,1,0
Bambi,0034492,1942,1,0
To Be or Not to Be,0035446,1942,0,0
Son of Fury: The Story of Benjamin Blake,0035360,1942,1,0
"Corpse Vanishes, The",0034613,1942,1,0
Mrs. Miniver,0035093,1942,3,1
"Man Who Came to Dinner, The",0033874,1942,3,1
Woman of the Year,0035567,1942,3,1
For Me and My Gal,0034746,1942,3,1
Saludos Amigos,0036326,1942,0,0
Saboteur,0035279,1942,1,0
I Married an Angel,0034882,1942,3,1
"Major and the Minor, The",0035019,1942,3,1
There Was a Father,0034591,1942,0,0
"Magnificent Ambersons, The",0035015,1942,2,0
Cat People,0034587,1942,3,1
Sherlock Holmes and the Secret Weapon,0035317,1942,1,0
Shadow of a Doubt,0036342,1943,3,1
Judo Saga (Sanshiro Sugata),0036400,1943,0,0
"Ox-Bow Incident, The",0036244,1943,1,0
Angels of Sin,0035636,1943,3,1
La main du diable,0035017,1943,1,0
Cry &#39;Havoc&#39;,0035770,1943,3,1
Jane Eyre,0036969,1943,3,1
"More the Merrier, The",0036172,1943,1,0
Girl Crazy,0035942,1943,1,0
Tender Comrade,0036418,1943,3,1
Le Corbeau: The Raven,0035753,1943,3,1
Watch on the Rhine,0036515,1943,3,1
Fires Were Started,0035881,1943,0,0
Guadalcanal Diary,0035957,1943,0,0
"Life and Death of Colonel Blimp, The",0036112,1943,2,0
"Seventh Victim, The",0036341,1943,3,1
Old Acquaintance,0036230,1943,3,1
Day of Wrath,0036506,1943,3,1
I Walked with a Zombie,0036027,1943,3,1
"Sky&#39;s the Limit, The",0036363,1943,1,0
Sahara,0036323,1943,0,0
So Proudly We Hail!,0036367,1943,3,1
National Velvet,0037120,1944,3,1
Laura,0037008,1944,3,1
Minstrel Man,0037076,1944,1,0
Lifeboat,0037017,1944,3,1
Cover Girl,0036723,1944,3,1
Mr. Skeffington,0037094,1944,2,0
"Most Beautiful (Ichiban utsukushiku), The",0036947,1944,3,1
Window in the Window,0037469,1944,1,0
Arsenic and Old Lace,0036613,1944,3,1
Meet Me in St. Louis,0037059,1944,3,1
Hail the Conquering Hero,0036891,1944,2,0
Torment,0036914,1944,0,0
Since You Went Away,0037280,1944,3,1
Double Indemnity,0036775,1944,3,1
I&#39;ll Be Seeing You,0036940,1944,3,1
To Have and Have Not,0037382,1944,3,1
A Canterbury Tale,0036695,1944,3,1
"Three Caballeros, The",0038166,1944,0,0
Children of Paradise,0037674,1945,2,0
"Seventh Veil, The",0038924,1945,3,1
Thin Man Goes Home,0037365,1945,2,0
"Objective, Burma!",0037954,1945,0,0
"Rome, Open City",0038890,1945,3,1
Brief Encounter,0037558,1945,3,1
Along Came Jones,0037508,1945,0,0
Dead of Night,0037635,1945,3,1
"Lost Weekend, The",0037884,1945,2,0
Mildred Pierce,0037913,1945,3,1
Isle of the Dead,0037820,1945,3,1
"Woman in Green, The",0038259,1945,3,1
"Red Dragon, The",0038017,1945,1,0
Anchors Aweigh,0037514,1945,0,0
Spellbound,0038109,1945,3,1
"Enchanted Cottage, The",0037671,1945,3,1
Scarlet Street,0038057,1945,3,1
Detour,0037638,1945,1,0
I Know Where I&#39;m Going,0037800,1945,3,1
Keep Your Powder Dry,0037843,1945,3,1
Les dames du Bois de Boulogne,0037630,1945,3,1
Deception,0038461,1946,0,0
Devotion,0038474,1946,3,1
Dressed to Kill,0038494,1946,3,1
It&#39;s a Wonderful Life,0038650,1946,3,1
"Jolson Story, The",0038661,1946,1,0
Beauty and the Beast,0038348,1946,3,1
"Dark Corner, The",0038453,1946,1,0
Two Sisters from Boston,0039054,1946,3,1
Gilda,0038559,1946,0,0
"Chase, The",0038409,1946,1,0
Stairway to Heaven,0038733,1946,0,0
My Darling Clementine,0038762,1946,1,0
Duel in the sun,0038499,1946,2,0
"Big Sleep, The",0038355,1946,1,0
Make Mine Music,0038718,1946,1,0
"Postman Always Rings Twice, The",0038854,1946,1,0
"Harvey Girls, The",0038589,1946,3,1
"Stranger, The",0038991,1946,3,1
Notorious,0038787,1946,2,0
"Strange Woman, The",0038990,1946,3,1
"Best Years of Our Lives, The",0036868,1946,2,0
Song of the South,0038969,1946,2,0
"Years Between, The",0039112,1946,3,1
Terror by Night,0039017,1946,1,0
"Shocking Miss Pilgrim, The",0039819,1947,3,1
Gunfighters,0039441,1947,2,0
"Ghost and Mrs. Muir, The",0039420,1947,3,1
Calendar Girl,0039236,1947,2,0
Fun &amp; Fancy Free,0039404,1947,1,0
Black Narcissus,0039192,1947,3,1
"Egg and I, The",0039349,1947,3,1
"Exile, The",0039360,1947,1,0
Crossfire,0039286,1947,2,0
"Paradine Case, The",0039694,1947,2,0
Odd Man Out,0039677,1947,2,0
Good News,0039431,1947,2,0
Build My Gallows High,0039689,1947,2,0
Nada,0039650,1947,3,1
Mr. Blandings Builds His Dream House,0040613,1948,3,1
"Treasure of the Sierra Madre, The",0040897,1948,0,0
Hamlet,0040416,1948,1,0
Bonnie Prince Charlie,0040183,1948,2,0
"Fuller Brush Man, The",0040379,1948,1,0
Easter Parade,0040308,1948,3,1
Red River,0040724,1948,0,0
Macbeth,0040558,1948,1,0
Bicycle Thieves,0040522,1948,2,0
"Snake Pit, The",0040806,1948,3,1
Call Northside 777,0040202,1948,1,0
I Remember Mama,0040458,1948,3,1
Rudolph the Red-Nosed Reindeer,0156031,1948,0,0
Anna Karenina,0040098,1948,2,0
Joan of Arc,0040491,1948,3,1
Rope,0040746,1948,0,0
Command Decision,0040242,1948,0,0
Casbah,0040214,1948,1,0
"Red Shoes, The",0040725,1948,3,1
Enchantment,0040321,1948,3,1
Act of Violence,0041088,1948,2,0
Melody Time,0040580,1948,1,0
"Man on the Eiffel Tower, The",0041628,1949,2,0
Caught,0040221,1949,3,1
"Set-Up, The",0041859,1949,0,0
"Barkleys of Broadway, The",0041158,1949,3,1
Adam&#39;s Rib,0041090,1949,3,1
Late Spring,0041154,1949,3,1
A Letter to Three Wives,0041587,1949,3,1
I Was a Male War Bride,0041498,1949,2,0
"Third Man, The",0041959,1949,0,0
"Adventures of Ichabod and Mr. Toad, The",0041094,1949,0,0
On the Town,0041716,1949,3,1
Pinky,0041746,1949,3,1
Kind Hearts and Coronets,0041546,1949,1,0
Little Women,0041594,1949,3,1
Mighty Joe Young,0041650,1949,0,0
"Fountainhead, The",0041386,1949,1,0
Under Capricorn,0042004,1949,3,1
"Heiress, The",0041452,1949,3,1
Rashomon,0042876,1950,0,0
Born Yesterday,0042276,1950,3,1
In a Lonely Place,0042593,1950,2,0
Harvey,0042546,1950,2,0
D.O.A.,0042369,1950,1,0
"Asphalt Jungle, The",0042208,1950,1,0
Sunset Blvd.,0043014,1950,1,0
Scandal,0042958,1950,3,1
Stage Fright,0042994,1950,3,1
Cinderella,0042332,1950,3,1
"Flying Saucer, The",0042469,1950,1,0
Orpheus,0041719,1950,2,0
No Way Out,0042792,1950,3,1
Three Secrets,0043045,1950,3,1
Les enfants terribles,0042436,1950,3,1
All About Eve,0042192,1950,3,1
Odette,0043871,1950,3,1
Summer Stock,0043012,1950,3,1
"Thing from Another World, The",0044121,1951,1,0
A Streetcar Named Desire,0044081,1951,3,1
Bellissima,0043332,1951,3,1
Westward the Women,0044205,1951,3,1
Surcos,0044092,1951,3,1
Strangers on a Train,0044079,1951,2,0
Alice in Wonderland,0043274,1951,3,1
"Day the Earth Stood Still, The",0043456,1951,3,1
Take Care of My Little Girl,0044100,1951,3,1
"Idiot, The",0043614,1951,3,1
Cause for Alarm!,0043390,1951,3,1
"African Queen, The",0043265,1951,0,0
Ace In The Hole,0043338,1951,2,0
An American in Paris,0043278,1951,1,0
Early Summer,0043313,1951,3,1
Quo Vadis,0043949,1951,3,1
Show Boat,0044030,1951,3,1
Diary of a Country Priest,0042619,1951,1,0
Lovely to Look at,0044855,1952,3,1
Clash by Night,0044502,1952,3,1
Ikiru,0044741,1952,1,0
Europe &#39;51,0043511,1952,3,1
"Magic Box, The",0043769,1952,2,0
Singin&#39; in the Rain,0045152,1952,3,1
"Bad and the Beautiful, The",0044391,1952,2,0
"Quiet Man, The",0045061,1952,1,0
Limelight,0044837,1952,1,0
"Snows of Kilimanjaro, The",0045162,1952,1,0
"Big Sky, The",0044419,1952,0,0
High Noon,0044706,1952,2,0
Forbidden Games,0043686,1952,3,1
From Here to Eternity,0045793,1953,3,1
"Big Heat, The",0045555,1953,3,1
Julius Caesar,0045943,1953,1,0
How to Marry a Millionaire,0045891,1953,3,1
Mr. Hulot&#39;s Holiday,0046487,1953,3,1
"Band Wagon, The",0045537,1953,1,0
Salome,0046269,1953,3,1
I Confess,0045897,1953,1,0
Fear and Desire,0045758,1953,0,0
Pickup on South Street,0046187,1953,3,1
Mesa of Lost Women,0046066,1953,1,0
Gentlemen Prefer Blondes,0045810,1953,3,1
"War of the Worlds, The",0046534,1953,1,0
Glen or Glenda,0045826,1953,0,0
"Wild One, The",0047677,1953,1,0
Summer with Monika,0046345,1953,3,1
Miss Sadie Thompson,0046076,1953,3,1
Calamity Jane,0045591,1953,3,1
Le Salaire de la Peur,0046268,1953,1,0
Peter Pan,0046183,1953,3,1
Stalag 17,0046359,1953,0,0
Tokyo Story,0046438,1953,3,1
Ugetsu,0046478,1953,2,0
Mogambo,0046085,1953,2,0
"Hitch-Hiker, The",0045877,1953,0,0
"Cruel Sea, The",0045659,1953,3,1
Shane,0046303,1953,1,0
Roman holiday,0046250,1953,3,1
"Beast from 20,000 Fathoms, The",0045546,1953,1,0
Inferno,0045911,1953,0,0
Executive Suite,0046963,1954,2,0
Rear Window,0047396,1954,3,1
A Star Is Born,0047522,1954,1,0
Creature from the Black Lagoon,0046876,1954,0,0
Uwasa no onna,0047638,1954,3,1
An American in Rome,0046705,1954,1,0
Touchez pas au grisbi,0046451,1954,1,0
Journey to Italy,0046511,1954,3,1
On the Waterfront,0047296,1954,0,0
"Glenn Miller Story, The",0047030,1954,2,0
Attila,0046731,1954,2,0
Gojira,0047034,1954,1,0
Dial M for Murder,0046912,1954,0,0
20000 Leagues Under the Sea,0046672,1954,0,0
Knock on Wood,0047152,1954,1,0
Seven Brides for Seven Brothers,0047472,1954,3,1
Shichinin no samurai,0047478,1954,0,0
Late Chrysanthemuns,0046750,1954,3,1
Three Coins in the Fountain,0047580,1954,3,1
Sabrina,0047437,1954,1,0
Animal Farm,0047834,1954,0,0
Johnny Guitar,0047136,1954,2,0
Salt of the Earth,0047443,1954,3,1
Hobson&#39;s Choice,0047094,1954,3,1
