title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
"Umbrellas of Cherbourg, The",tt0058450,1964,P,France,2,Zeitgeist Films,NOT RATED,Drama,0,0,M,7.9
"Unsinkable Molly Brown, The",tt0058708,1964,P,USA,2,MGM Home Entertainment,APPROVED,Biography,1,1,M,6.8
Onibaba,tt0058430,1964,F,Japan,2,Toho Company Ltd.,NOT RATED,Drama,0,0,M,8.0
Code Name: Tiger,tt0058658,1964,P,France,0,N/A,N/A,Thriller,0,2,M,5.0
King &amp; Country,tt0058263,1964,F,UK,0,Allied Artists Pictures,NOT RATED,Drama,0,2,M,7.6
"Chalk Garden, The",tt0057933,1964,P,UK,1,MCA Universal Home Video,N/A,Drama,0,1,M,7.6
Nikutai no mon [Gate of Flesh],tt0058409,1964,P,Japan,1,Criterion Collection,NOT RATED,Drama,0,0,M,7.6
Marriage Italian Style,tt0058335,1964,P,Italy,0,Kino Lorber,NOT RATED,Comedy,0,2,M,7.5
Band of Outsiders,tt0057869,1964,P,France,0,Royal Films International,NOT RATED,Comedy,0,0,M,7.8
La tia Tula,tt0058695,1964,P,Spain,5,United International Pictures (UIP),N/A,Drama,0,4,M,7.8
Gulliver&#39;s Travels Beyond the Moon,tt0059212,1965,F,Japan,0,N/A,N/A,Animation,0,1,M,6.7
That Darn Cat!,tt0059793,1965,P,USA,0,Walt Disney Productions,APPROVED,Comedy,0,2,M,6.7
"Faster, Pussycat! Kill! Kill!",tt0059170,1965,P,USA,2,Eve Productions,NOT RATED,Action,0,0,M,6.8
"Sound of Music, The",tt0059742,1965,P,USA,1,20th Century-Fox,G,Biography,0,3,M,8.0
Viva Maria!,tt0059956,1965,P,France,4,United Artists,NOT RATED,Adventure,0,1,M,6.4
Kapurush,tt0059348,1965,F,India,0,R.D.Banshal &amp; Co.,N/A,Drama,0,0,M,7.8
Devils of Darkness,tt0059100,1965,P,UK,0,N/A,APPROVED,Horror,0,0,M,4.8
"Pleasure Girls, The",tt0059607,1965,P,UK,1,N/A,N/A,Drama,0,0,M,5.9
Bunny Lake Is Missing,tt0058997,1965,P,UK,4,Sony Pictures Entertainment,NOT RATED,Mystery,1,1,M,7.3
Repulsion,tt0059646,1965,P,UK,2,Royal Films International,NOT RATED,Drama,0,2,M,7.8
A Study in Terror,tt0059764,1965,P,UK,0,Columbia Pictures,N/A,Crime,0,3,M,6.6
Darling,tt0059084,1965,P,UK,1,Lionsgate,TV-MA,Drama,0,2,M,7.2
How to Murder Your Wife,tt0058212,1965,F,USA,1,MGM Home Entertainment,APPROVED,Comedy,0,1,M,6.6
How to Steal a Million,tt0060522,1966,F,USA,3,20th Century Fox Film Corp.,APPROVED,Comedy,0,2,M,7.6
End of August at the Hotel Ozone,tt0061879,1966,P,Czechoslovakia,1,N/A,N/A,Drama,0,0,M,6.9
Persona,tt0060827,1966,P,Sweden,0,Criterion Collection,NOT RATED,Drama,0,0,M,8.1
Georgy Girl,tt0060453,1966,P,UK,3,Columbia Pictures,APPROVED,Comedy,2,1,M,6.9
"Good, the Bad and the Ugly, The",tt0060196,1966,F,Italy,0,United Artists,R,Western,0,4,M,8.9
Daisies,tt0060959,1966,P,Czechoslovakia,0,Janus Films,N/A,Comedy,0,0,M,7.4
Torn Curtain,tt0061107,1966,P,USA,0,MCA Universal Home Video,PG,Thriller,0,1,M,6.7
"Group, The",tt0060479,1966,P,USA,1,United Artists,APPROVED,Drama,2,1,F,6.6
Return of Daimajin,tt0062852,1966,F,Japan,0,N/A,NOT RATED,Fantasy,0,0,M,6.3
Wrath of Daimajin,tt0062853,1966,F,Japan,0,N/A,N/A,Drama,0,0,M,6.5
Fantastic Voyage,tt0060397,1966,F,USA,0,20th Century Fox Film Corporation,PG,Adventure,0,3,M,6.8
Daikaiju ketto: Gamera tai Barugon,tt0060446,1966,F,Japan,0,N/A,N/A,Action,0,0,M,4.5
Guess Who&#39;s Coming to Dinner,tt0061735,1967,P,USA,2,Columbia Pictures Corporation,NOT RATED,Comedy,0,1,M,7.8
Barefoot in the Park,tt0061385,1967,P,USA,0,Paramount Home Video,G,Comedy,0,2,M,7.0
Smashing Time,tt0062281,1967,P,UK,1,N/A,N/A,Comedy,0,1,M,6.4
Wait Until Dark,tt0062467,1967,P,USA,2,Warner Home Video,NOT RATED,Horror,0,2,M,7.8
Woman Times Seven,tt0062502,1967,P,Italy,2,Embassy Pictures Corporation,NOT RATED,Comedy,0,0,M,6.2
Valley of the Dolls,tt0062430,1967,P,USA,1,20th Century Fox,PG-13,Drama,2,0,M,5.9
Thoroughly Modern Millie,tt0062362,1967,P,USA,0,Universal,G,Comedy,0,1,M,7.0
I Am Curious (Yellow),tt0061834,1967,P,Sweden,4,Sandrews,X,Drama,0,0,M,6.1
Two for the Road,tt0062407,1967,P,UK,0,Fox,APPROVED,Comedy,0,0,M,7.6
Elvira Madigan,tt0061620,1967,F,Sweden,0,Europa Film,PG,Biography,0,1,M,7.5
Asterix the Gaul (Asterix le Gaulois),tt0061369,1967,F,France,0,N/A,N/A,Animation,0,1,M,6.6
Daikaiju kuchusen: Gamera tai Gyaosu,tt0061695,1967,F,Japan,0,N/A,N/A,Action,0,0,M,4.5
"Fox, The",tt0062990,1967,P,Canada,1,MGM Home Entertainment,R,Drama,0,2,M,6.7
Son of Godzilla,tt0061856,1967,F,Japan,0,Sony Pictures Home Entertainment,PG,Action,0,0,M,5.2
Night of the Living Dead,tt0063350,1968,P,USA,0,Continental Distributing Inc.,NOT RATED,Horror,0,2,M,7.9
Star!,tt0063642,1968,P,USA,0,20th Century Fox Film Corporation,G,Biography,0,1,M,6.6
"Killing of Sister George, The",tt0063185,1968,P,USA,3,Anchor Bay Entertainment,X,Drama,0,2,M,7.1
Asterix et Cleopatre,tt0062687,1968,F,France,0,N/A,N/A,Animation,0,3,M,7.2
Barbarella,tt0062711,1968,P,France,0,Universal Pictures,PG,Adventure,0,3,M,5.9
"Producers, The",tt0063462,1968,F,USA,0,AVCO Embassy Pictures,PG,Comedy,0,0,M,7.7
Ice Station Zebra,tt0063121,1968,F,USA,0,MGM Home Entertainment,G,Adventure,0,2,M,6.6
Reconstruction,tt0063493,1968,F,Romania,0,N/A,N/A,Comedy,0,1,M,8.2
"Bride Wore Black, The",tt0061955,1968,P,France,7,United Artists,UNRATED,Crime,0,0,M,7.3
Taiyo no oji: Horusu no daiboken,tt0063668,1968,F,Japan,1,MGM,NOT RATED,Animation,0,0,M,6.7
Carry On... Up the Khyber,tt0062782,1968,P,UK,0,J. Arthur Rank Productions,NOT RATED,Adventure,0,0,M,6.9
Funny Girl,tt0062994,1968,P,USA,4,Columbia Pictures,G,Biography,0,0,M,7.6
Destroy All Monsters,tt0063172,1968,F,Japan,0,American International Pictures,G,Action,0,0,M,6.6
Where Eagles Dare,tt0065207,1968,P,UK,0,MGM Home Entertainment,PG,Action,0,0,M,7.7
2001: A Space Odyssey,tt0062622,1968,F,UK,0,Warner Bros. Pictures,G,Adventure,0,2,M,8.3
Il giorno della civetta,tt0063010,1968,F,Italy,0,N/A,M,Thriller,0,1,M,7.1
"Lion in Winter, The",tt0063227,1968,P,UK,1,Nelson Entertainment,PG,Biography,0,2,M,8.1
Rosemary&#39;s Baby,tt0063522,1968,P,USA,3,Paramount Pictures,APPROVED,Drama,0,1,M,8.0
Romeo and Juliet,tt0063518,1968,P,UK,0,Paramount Home Video,PG,Drama,0,3,M,7.6
Up the Junction,tt0062426,1968,P,UK,1,Paramount Studios,R,Drama,0,1,M,7.2
"Hello, Dolly!",tt0064418,1969,P,USA,0,20th Century Fox,G,Adventure,0,2,M,7.2
Downhill Racer,tt0064253,1969,F,USA,0,Paramount Pictures,M,Drama,0,1,M,6.5
"Prime of Miss Jean Brodie, The",tt0064840,1969,P,UK,2,20th Century Fox Film Corporation,PG,Drama,0,2,M,7.6
Chastity,tt0064156,1969,F,USA,0,American International Pictures,R,Drama,0,1,M,5.0
Age of Consent,tt0063991,1969,P,Australia,0,Columbia Pictures,R,Biography,0,1,M,6.5
Mississippi Mermaid,tt0064990,1969,P,France,1,Film Desk,R,Crime,0,0,M,7.1
Army of Shadows,tt0064040,1969,F,France,0,Rialto Pictures LLC.,NOT RATED,Drama,0,1,M,8.2
True Grit,tt0065126,1969,P,USA,1,Paramount Home Video,G,Adventure,0,1,M,7.4
My Night at Maud&#39;s,tt0064612,1969,P,France,1,Manga Films,PG,Comedy,0,0,M,8.1
Carry It On,tt0188484,1970,P,N/A,0,Maron Films,N/A,Documentary,0,0,M,6.2
"AristoCats, The",tt0065421,1970,P,USA,0,Buena Vista,G,Animation,0,6,M,7.1
Five Easy Pieces,tt0065724,1970,P,USA,0,Columbia Pictures,R,Drama,0,0,M,7.5
Two Mules for Sister Sara,tt0065134,1970,P,Mexico,1,Universal Studios,GP,Adventure,0,1,M,7.0
Colossus: The Forbin Project,tt0064177,1970,F,USA,0,MCA Universal Home Video,M,Sci-Fi,0,1,M,7.2
Taste the Blood of Dracula,tt0065073,1970,P,UK,0,Warner Home Video,R,Drama,0,1,M,6.4
"Conformist, The",tt0065571,1970,P,Italy,0,Paramount Pictures,R,Drama,0,2,M,8.1
Airport,tt0065377,1970,P,USA,0,Universal Pictures,G,Action,0,2,M,6.6
"Vampire Lovers, The",tt0066518,1970,P,UK,1,MGM Pictures,R,Horror,0,2,M,6.6
Beyond the Valley of the Dolls,tt0065466,1970,P,USA,0,20th Century Fox Film Corporation,NC-17,Comedy,0,2,M,6.2
Waterloo,tt0066549,1970,F,Italy,0,Columbia Pictures,G,Action,0,0,M,7.3
Les novices,tt0066164,1970,P,France,0,Parafrance,R,Comedy,0,1,M,4.9
Bambule,tt0065449,1970,P,West Germany,0,N/A,N/A,Drama,0,0,M,7.1
Darling Lili,tt0065611,1970,P,USA,0,Paramount,G,Comedy,0,2,M,6.2
Play Misty for Me,tt0067588,1971,P,USA,1,MCA Universal Home Video,R,Thriller,0,1,M,7.0
"Devils, The",tt0066993,1971,P,UK,0,Warner Bros.,R,Biography,0,1,M,7.8
"Mary, Queen of Scots",tt0067402,1971,P,UK,2,Universal Pictures,PG-13,Biography,0,1,M,7.5
Mrs. Pollifax - Spy,tt0067451,1971,P,USA,2,United Artists,G,Adventure,0,0,F,5.4
Let&#39;s Scare Jessica to Death,tt0067341,1971,P,USA,3,Paramount Pictures,PG-13,Drama,0,2,M,6.5
Nicholas and Alexandra,tt0067483,1971,P,UK,0,Sony Pictures Home Entertainment,GP,Biography,0,3,M,7.3
Death in Venice,tt0067445,1971,F,Italy,0,WARNER BROTHERS PICTURES,GP,Drama,0,1,M,7.5
Harold and Maude,tt0067185,1971,P,USA,0,Paramount Pictures,PG,Comedy,0,1,M,8.0
McCabe &amp; Mrs. Miller,tt0067411,1971,P,USA,0,Warner Bros. Pictures,R,Drama,0,2,M,7.7
"House That Dripped Blood, The",tt0065854,1971,P,UK,0,Severin Films,GP,Horror,0,1,M,6.6
Duel,tt0067023,1971,F,USA,0,Universal Pictures,PG,Action,0,2,M,7.7
"Lady Hermit, The",tt0067322,1971,P,Hong Kong,4,N/A,N/A,Action,0,0,M,7.2
"Trojan Women, The",tt0067881,1971,P,UK,1,Cinerama,GP,Drama,1,0,M,7.1
Taking Off,tt0067820,1971,P,USA,2,Universal Pictures,R,Comedy,0,2,M,7.4
Frenchie King,tt0067637,1971,P,UK,0,N/A,R,Comedy,0,3,M,5.3
Godzilla vs. the Smog Monster (Godzilla vs. Hedorah),tt0067148,1971,P,Japan,0,Sony Pictures Home Entertainment,PG,Animation,0,0,M,6.0
"Bitter Tears of Petra von Kant , The",tt0068278,1972,P,West Germany,0,Wellspring Media Inc.,NOT RATED,Drama,0,0,M,7.8
"Last House on the Left, The",tt0068833,1972,P,USA,0,Hallmark Entertainment,R,Horror,0,0,M,6.0
"Silent Night, Bloody Night",tt0070694,1972,P,USA,0,Film Chest,R,Horror,0,3,M,5.3
Prison Girls,tt0244730,1972,P,USA,0,American International Pictures,X,Crime,0,1,M,3.8
Pink Flamingos,tt0069089,1972,P,USA,2,New Line Cinema,NC-17,Comedy,0,1,M,6.1
"Other Side of Underneath, The",tt0201820,1972,P,UK,0,N/A,N/A,Drama,2,0,F,6.8
Wedding in White,tt0069489,1972,P,Canada,3,Cinepix,R,Drama,0,2,M,6.7
Cries and Whispers (Viskningar och rop),tt0069467,1972,P,Sweden,2,Criterion Collection,R,Drama,0,0,M,8.1
Travels With My Aunt,tt0069404,1972,P,USA,2,MGM,PG,Adventure,0,3,M,6.4
Une belle fille comme moi,tt0069442,1972,P,France,3,N/A,R,Comedy,0,1,M,6.6
"Dawns Here are Quiet, The",tt0068161,1972,P,Soviet Union,0,N/A,PG-13,Drama,0,0,M,8.4
Deep Throat,tt0068468,1972,P,USA,2,N/A,X,Adult,0,0,M,5.2
State of Siege,tt0070959,1972,F,France,0,Dieter Geissler Filmproduktion,NOT RATED,Drama,0,2,M,7.9
Badlands,tt0069762,1973,F,USA,2,Warner Bros. Pictures,PG,Crime,0,1,M,7.9
"Spirit of the Beehive, The",tt0070040,1973,P,Spain,2,Janus Films,NOT RATED,Drama,0,0,M,8.0
"Wicker Man, The",tt0070917,1973,P,UK,1,LionsGate Entertainment,R,Horror,0,1,M,7.6
"Exorcist, The",tt0070047,1973,P,USA,5,Warner Bros. Pictures,R,Horror,0,2,M,8.0
"Legend of Hell House, The",tt0070294,1973,P,UK,1,Fox,PG,Horror,0,2,M,6.8
Lemora: A Child&#39;s Tale Of The Supernatural,tt0070300,1973,P,USA,3,Synapse Films,PG,Fantasy,0,2,M,6.5
Paper Moon,tt0070510,1973,P,USA,2,Paramount Pictures,PG,Comedy,0,2,M,8.1
A Doll&#39;s House,tt0069987,1973,P,UK,3,Tomorrow Entertainment,G,Drama,0,2,M,6.5
Children Shouldn&#39;t Play with Dead Things,tt0068370,1973,P,USA,0,Ambassador Film Distributors,PG,Comedy,0,1,M,5.5
Robin Hood,tt0070608,1973,P,USA,0,Buena Vista Pictures,G,Animation,0,6,M,7.6
"Black Mama, White Mama",tt0068282,1973,P,Philippines,1,American International Pictures,R,Crime,0,2,M,5.6
"Baby, The",tt0069754,1973,P,USA,2,Scotia International,PG,Horror,0,0,M,6.1
Turkish Delight,tt0070842,1973,P,Netherlands,0,Cinemation Industries,R,Drama,0,1,M,7.2
Day for Night,tt0070460,1973,P,France,0,Warner Bros. Pictures,PG,Comedy,0,0,M,8.1
Truck Turner,tt0072325,1974,P,USA,1,American International Pictures,R,Action,0,3,M,7.0
Brief Encounter,tt0071247,1974,P,UK,0,Carlo Ponti Productions,NOT RATED,Drama,0,2,M,5.2
Dracula,tt0070003,1974,P,UK,2,N/A,TV-14,Horror,0,1,M,6.4
"Parallax View, The",tt0071970,1974,F,USA,0,Paramount Pictures,R,Drama,0,2,M,7.2
"Je, tu, il, elle",tt0071690,1974,P,France,1,Criterion Collection,N/A,Drama,0,2,M,7.0
Vampyres,tt0072354,1974,P,UK,0,Anchor Bay Entertainment,R,Horror,1,0,M,6.1
Phantom of the Paradise,tt0071994,1974,F,USA,2,Fox,PG,Comedy,0,1,M,7.4
A Woman Under The Influence,tt0072417,1974,P,USA,4,Criterion Collection,R,Drama,0,1,M,8.2
Dark Star,tt0069945,1974,F,USA,0,Jack H. Harris Enterprises Inc,G,Comedy,0,1,M,6.4
Alice Doesn&#39;t Live Here Anymore,tt0071115,1974,P,USA,2,Warner Home Video,PG,Drama,0,1,M,7.4
Death Wish,tt0071402,1974,P,USA,1,Paramount Pictures,R,Action,0,1,M,7.0
"Maids, The",tt0071798,1975,P,UK,1,The American Film Theatre,PG,Drama,0,3,M,6.6
"Rocky Horror Picture Show, The",tt0073629,1975,P,UK,0,20th Century Fox,R,Comedy,0,2,M,7.4
Dog Day Afternoon,tt0072890,1975,P,USA,0,WARNER BROTHERS PICTURES,R,Biography,0,2,F,8.0
Deep Red,tt0073582,1975,P,Italy,0,Anchor Bay Entertainment,R,Horror,0,1,M,7.7
"Sal&ograve; o le 120 giornate di Sodoma [Salo, or the 120 Days of Sodom]",tt0073650,1975,P,Italy,0,Water Bearer Films Inc.,NOT RATED,Drama,0,0,M,6.0
A boy and His Dog,tt0072730,1975,F,USA,0,eRealBiz,R,Comedy,0,0,M,6.6
"Mirror, The",tt0072443,1975,P,Soviet Union,1,Mosfilm Studios,G,Biography,0,0,M,8.1
Grey Gardens,tt0073076,1975,P,USA,3,Janus Films,PG,Documentary,0,0,F,7.7
Fawlty Towers,tt0072500,1975,P,UK,0,,TV-PG,Comedy,0,0,M,8.8
Dersu Uzala,tt0071411,1975,F,Soviet Union,0,Nelson Entertainment,G,Adventure,1,0,F,8.3
Dolemite,tt0072895,1975,F,USA,0,Xenon,R,Action,0,2,M,6.0
"Stepford Wives, The",tt0073747,1975,P,USA,1,Sony Pictures,PG,Horror,0,1,M,6.9
Jaws,tt0073195,1975,P,USA,0,Universal Pictures,PG,Adventure,0,3,M,8.0
Nashville,tt0073440,1975,P,USA,0,Paramount Pictures,R,Comedy,0,0,M,7.8
Picnic at Hanging Rock,tt0073540,1975,P,Australia,0,South Australian Film,PG,Drama,0,0,M,7.6
Switchblade Sisters,tt0073778,1975,P,USA,2,Rolling Thunder Pictures,R,Action,0,2,M,6.7
Blonde in Black Leather,tt0073598,1975,P,Italy,1,N/A,PG,Comedy,2,1,M,6.4
Emmanuelle II,tt0072933,1975,P,France,2,N/A,NC-17,Drama,0,0,M,4.7
Small Change,tt0074152,1976,P,France,1,N/A,PG,Comedy,0,0,M,7.8
Carrie,tt0074285,1976,P,USA,6,United Artists,R,Horror,0,2,M,7.4
A Star Is Born,tt0075265,1976,F,USA,0,Warner Bros. Pictures,R,Drama,0,4,M,6.4
Family Plot,tt0074512,1976,P,USA,1,Universal Pictures,PG,Comedy,0,2,M,6.8
Murder by Death,tt0074937,1976,P,USA,0,Sony Pictures Entertainment,PG,Comedy,0,1,M,7.4
Sparkle,tt0075249,1976,P,USA,1,Warner Home Video,PG,Drama,0,2,M,7.1
"Little Girl Who Lives Down the Lane, The",tt0074806,1976,P,France,1,Rank Film Distributors,PG,Drama,0,0,M,7.1
"Many Adventures of Winnie the Pooh, The",tt0076363,1977,F,USA,0,Walt Disney Productions,G,Animation,0,7,M,7.6
3 Women,tt0075612,1977,P,USA,1,20th Century Fox,PG,Drama,0,1,M,7.9
Stroszek,tt0075276,1977,F,West Germany,0,New Yorker Films,NOT RATED,Comedy,0,0,M,8.0
Eraserhead,tt0074486,1977,F,USA,0,Libra Films,NOT RATED,Horror,0,1,M,7.4
"Sentinel, The",tt0076683,1977,P,USA,0,Universal Pictures,R,Horror,0,3,M,6.4
"Hills Have Eyes, The",tt0077681,1977,P,USA,0,Laser Media,R,Horror,0,0,M,6.4
Kingdom of the Spiders,tt0076271,1977,P,USA,0,Dimension Pictures,PG,Horror,0,4,M,5.9
"Turning Point, The",tt0076843,1977,P,USA,3,Paramount Pictures,PG,Drama,0,1,M,6.9
Death Trap!,tt0074455,1977,P,USA,0,Virgo International,R,Horror,0,2,M,5.5
"Goodbye Girl, The",tt0076095,1977,P,USA,3,MGM Home Entertainment,PG,Comedy,0,1,M,7.4
House,tt0076162,1977,P,Japan,2,Toho International Company Inc,NOT RATED,Comedy,0,0,M,7.4
"36 Crazy Fists, The",tt0076661,1977,F,Hong Kong,0,MoMedia,R,Action,0,0,M,5.3
Julia,tt0076245,1977,P,USA,0,20th Century Fox Film Corporation,PG,Drama,1,1,M,7.3
Damnation Alley,tt0075909,1977,F,USA,0,Twentieth Century Fox,PG,Sci-Fi,0,3,M,5.2
A Little Night Music,tt0076319,1977,P,West Germany,1,S&T-Film Berlin,PG,Comedy,0,1,M,5.7
"Rescuers, The",tt0076618,1977,P,USA,1,Walt Disney Pictures,G,Animation,0,4,M,6.9
"Haunting of Julia, The",tt0074611,1977,P,Canada,5,N/A,R,Drama,0,2,M,6.4
"Wiz, The",tt0078504,1978,P,USA,0,Universal Pictures,G,Adventure,0,2,F,5.3
"Shout, The",tt0078259,1978,F,UK,1,RCA/Columbia,R,Horror,0,2,M,6.8
Battlestar Galactica,tt0077215,1978,P,USA,0,MCA Universal Home Video,PG,Action,0,0,M,6.8
Midnight Express,tt0077928,1978,F,UK,0,Sony Pictures Home Entertainment,R,Biography,0,3,M,7.6
I Spit on Your Grave,tt0077713,1978,F,USA,1,Anchor Bay Entertainment,R,Horror,0,0,M,5.7
Death on the Nile,tt0077413,1978,P,UK,0,EMI Films Ltd.,PG,Crime,0,1,M,7.3
Foul Play,tt0077578,1978,P,USA,0,Paramount Home Video,PG,Comedy,0,1,M,6.8
H&ouml;stsonaten,tt0077711,1978,P,France,3,Criterion Collection,PG,Drama,0,0,M,8.3
Halloween,tt0077651,1978,P,USA,0,Compass International Pictures,R,Horror,0,1,M,7.8
Grease,tt0077631,1978,P,USA,1,Paramount Pictures,PG-13,Musical,0,2,M,7.2
Dawn of the Dead,tt0077402,1978,F,USA,0,United Film Distribution Compa,UNRATED,Horror,0,1,M,8.0
Within the Woods,tt0078503,1978,P,USA,0,N/A,NOT RATED,Horror,0,1,M,6.7
