title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
From Russia with Love,tt0057076,1963,P,UK,0,United Artists,PG,Action,1,1,M,7.5
Summer Magic,tt0057542,1963,P,USA,1,Walt Disney Productions,APPROVED,Comedy,1,0,M,7.1
Suzanne&#39;s Career,tt0056910,1963,P,France,1,Criterion Collection,NOT RATED,Drama,0,0,M,7.2
Atragon,tt0057215,1963,F,Japan,0,N/A,TV-Y7,Adventure,0,0,M,6.1
Khaneh siah ast (The House is Black),tt0336693,1963,F,Iran,0,N/A,N/A,Documentary,0,0,M,8.0
Tom Jones,tt0057590,1963,P,UK,0,Woodfall Film Productions,NOT RATED,Adventure,0,2,M,6.7
"Birds, The",tt0056869,1963,P,USA,0,Universal Pictures,PASSED,Drama,1,1,M,7.7
"Servant, The",tt0057490,1963,P,UK,0,Rialto Pictures,UNRATED,Drama,0,1,M,7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,F,USA,0,Sony Pictures,PG,Comedy,0,4,M,8.4
"Hush...Hush, Sweet Charlotte",tt0058213,1964,P,USA,0,Fox,APPROVED,Crime,0,3,M,7.7
Mary Poppins,tt0058331,1964,P,USA,0,Walt Disney Productions,G,Comedy,0,0,M,7.8
"Ghidorah, the Three-Headed Monster",tt0058544,1964,P,Japan,0,N/A,NOT RATED,Action,0,0,M,6.7
Marnie,tt0058329,1964,P,USA,2,MCA Universal Home Video,PG,Crime,0,2,M,7.2
Dead Ringer,tt0057997,1964,P,USA,5,Warner Bros. Pictures,UNRATED,Crime,0,2,M,7.4
Viva Las Vegas,tt0058725,1964,F,USA,0,MGM,APPROVED,Comedy,0,0,M,6.4
Red Desert,tt0058003,1964,P,Italy,2,Janus Films,NOT RATED,Drama,0,0,M,7.7
Inside Daisy Clover,tt0059314,1965,P,USA,0,Warner Bros.,APPROVED,Drama,0,2,M,6.3
Juliet of the Spirits,tt0059229,1965,P,Italy,2,Criterion Collection,NOT RATED,Comedy,0,0,M,7.7
For a Few Dollars More,tt0059578,1965,F,Italy,0,MGM Home Entertainment,R,Western,0,3,M,8.3
"Flight of the Phoenix, The",tt0059183,1965,F,USA,0,20th Century Fox Film Corporation,NOT RATED,Adventure,0,2,M,7.6
Mne dvadtsat let (I am twenty),tt0058361,1965,P,Soviet Union,0,N/A,N/A,Drama,0,0,M,8.0
Death Rides a Horse,tt0064208,1966,F,Italy,0,Live Home Video,R,Western,0,1,M,7.2
Cathy Come Home,tt0059020,1966,P,UK,2,,N/A,Drama,0,1,M,8.0
"Trouble with Angels, The",tt0061122,1966,P,USA,2,Sony Pictures Entertainment,PG,Comedy,1,0,M,7.5
Blow-Up,tt0060176,1966,F,UK,0,MGM,NOT RATED,Drama,0,2,M,7.6
Black Girl,tt0060758,1966,P,Senegal,1,N/A,NOT RATED,Drama,0,0,M,7.5
"Plague of the Zombies, The",tt0060841,1966,P,UK,0,Warner Bros.,APPROVED,Horror,0,1,M,6.7
La caza,tt0060223,1966,F,Spain,0,Trans Lux Inc.,N/A,Drama,0,1,M,7.7
Django,tt0060315,1966,F,Italy,0,Rialto Pictures,NOT RATED,Action,0,5,M,7.3
Fahrenheit 451,tt0060390,1966,P,UK,0,Universal Pictures,NOT RATED,Drama,0,1,M,7.3
Bonnie and Clyde,tt0061418,1967,P,USA,0,Warner Brothers/Seven Arts,R,Action,0,2,M,7.9
"Dirty Dozen, The",tt0061578,1967,F,UK,0,MGM,NOT RATED,Action,0,1,M,7.8
Uchu daikaiju Girara,tt0062411,1967,P,Japan,0,Criterion Collection,PG,Horror,0,0,M,4.9
Playtime,tt0062136,1967,P,France,0,Continental Distributing,NOT RATED,Comedy,0,0,M,8.0
Belle de Jour,tt0061395,1967,P,France,1,Miramax Zoe,R,Drama,0,2,M,7.8
"Young Girls of Rochefort, The",tt0062873,1967,P,France,1,Miramax-Zoe,G,Comedy,0,0,M,7.7
Bedazzled,tt0061391,1967,P,UK,1,Twentieth Century Fox,APPROVED,Comedy,0,2,M,7.0
Berserk,tt0061398,1967,P,UK,1,Sony Pictures Entertainment,NOT RATED,Horror,0,0,M,5.1
Head,tt0063049,1968,F,USA,0,Columbia Pictures,G,Comedy,0,1,M,6.6
Yellow Submarine,tt0063823,1968,F,UK,0,Independent Pictures,G,Animation,0,5,M,7.4
"Party, The",tt0063415,1968,P,USA,0,United Artists,PG,Comedy,0,3,M,7.6
Women in Love,tt0066579,1969,P,UK,1,N/A,R,Drama,0,1,M,7.5
"Honeymoon Killers, The",tt0064437,1969,P,USA,3,Live Home Video,R,Crime,0,1,M,7.1
"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",tt0064373,1969,F,Japan,0,Sony Pictures Entertainment,G,Action,0,0,M,3.9
Claire&#39;s Knee,tt0065772,1970,P,France,1,Media Home Entertainment,GP,Comedy,0,0,M,7.8
"Boys in the Band, The",tt0065488,1970,F,USA,0,Hollywood Classics,R,Drama,0,0,M,7.7
Dodes&#39;ka-den,tt0065649,1970,P,Japan,0,N/A,NOT RATED,Drama,1,0,F,7.5
Donkey Skin,tt0066207,1970,P,France,2,Koch Lorber Films,NOT RATED,Drama,0,1,M,7.1
Le Cercle Rouge,tt0065531,1970,F,France,0,Rialto Pictures,NOT RATED,Crime,0,0,M,8.1
Bedknobs and Broomsticks,tt0066817,1971,P,USA,0,Buena Vista Pictures,G,Animation,1,1,M,7.1
Lust for a Vampire,tt0067367,1971,P,UK,0,EMI,R,Horror,0,0,M,5.8
Klute,tt0067309,1971,P,USA,0,Warner Home Video,R,Crime,0,2,M,7.2
THX 1138,tt0066434,1971,F,USA,1,Warner Bros. Pictures,R,Drama,0,3,M,6.8
Mon oncle Antoine,tt0067439,1971,P,Canada,0,Criterion Collection,NOT RATED,Drama,0,0,M,7.7
Vampyros Lesbos,tt0066380,1971,P,West Germany,2,Floralva Exclusivas,UNRATED,Drama,1,2,M,5.5
Last Tango in Paris,tt0070849,1972,P,France,1,United Artists,NC-17,Drama,0,1,M,7.1
"Mattei Affair (Il caso Mattei), The",tt0068346,1972,F,Italy,0,N/A,R,Biography,0,0,M,7.8
Blacula,tt0068284,1972,P,USA,0,HBO Video,PG,Fantasy,0,1,M,5.6
Avanti!,tt0068240,1972,P,Italy,0,United Artists,R,Comedy,0,2,M,7.2
Sleuth,tt0069281,1972,F,UK,1,20th Century Fox Film Corporation,PG,Mystery,0,2,M,8.0
"Duscreet Charm of the Bourgeoisie, The",tt0068361,1972,P,France,0,20th Century Fox,PG,Comedy,0,1,M,8.0
"L&#39;aventure, c&#39;est l&#39;aventure",tt0066798,1972,F,France,0,Cinéma Du Parc,R,Adventure,0,2,M,7.0
Frenzy,tt0068611,1972,P,UK,1,Universal Pictures,R,Thriller,0,2,M,7.5
Butterflies Are Free,tt0068326,1972,P,USA,2,Sony Pictures Entertainment,PG,Comedy,0,2,M,7.2
Cabaret,tt0068327,1972,P,USA,0,Twentieth Century Fox Home Entertainment,PG,Drama,0,4,M,7.8
Don&#39;t look now,tt0069995,1973,P,UK,1,Paramount Pictures,R,Drama,1,2,M,7.3
El ataque de los muertos sin ojos [Return of the Evil Dead],tt0068232,1973,P,Spain,0,Blue Underground,NOT RATED,Horror,0,0,M,6.0
Lady Snowblood,tt0158714,1973,P,Japan,1,Toho Company Ltd.,NOT RATED,Action,0,0,M,7.7
Don Juan (Or If Don Juan Were a Woman),tt0069990,1973,P,France,5,Criterion Collection,R,Drama,0,3,M,5.0
Jesus Christ Superstar,tt0070239,1973,F,USA,0,Universal Studios,G,Drama,0,0,M,7.3
Papillon,tt0070511,1973,F,France,0,Twentieth Century Fox Home Entertainment,R,Biography,0,2,M,8.0
Godzilla vs. Megalon,tt0070122,1973,F,Japan,0,Toho Company,NOT RATED,Action,0,0,M,4.6
"Crazies, The",tt0069895,1973,P,USA,0,Blue Underground,R,Action,0,2,M,6.1
Foxy Brown,tt0071517,1974,P,USA,2,MGM Home Entertainment,R,Action,0,1,M,6.5
Emmanuelle,tt0071464,1974,P,France,1,Columbia Pictures,UNRATED,Drama,0,0,M,5.3
Celine and Julie Go Boating,tt0071381,1974,P,France,1,N/A,UNRATED,Comedy,2,3,M,7.8
"Odessa File, The",tt0071935,1974,P,UK,0,Sony Pictures Home Entertainment,PG,Drama,0,3,M,7.0
Black Christmas,tt0071222,1974,P,Canada,0,Warner Bros. Pictures,R,Horror,0,1,M,7.2
Mame,tt0071803,1974,P,USA,0,Warner Bros. Pictures,PG,Musical,0,7,M,6.0
Ali: Fear Eats the Soul,tt0071141,1974,P,West Germany,2,New Yorker Films,NOT RATED,Drama,0,0,M,8.1
Female Trouble,tt0072979,1974,P,USA,1,Continental Home Video,NC-17,Comedy,0,1,M,7.3
Love and Death,tt0073312,1975,P,USA,0,United Artists,PG,Comedy,0,0,M,7.8
Dialogues of Exiles,tt0071427,1975,P,Chile,0,N/A,N/A,Comedy,0,0,M,7.2
"Story of O, The",tt0073115,1975,P,France,2,Phaedra Cinema,NC-17,Drama,1,1,M,5.4
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",tt0073198,1975,P,Belgium,5,Criterion Collection,NOT RATED,Drama,0,0,M,8.0
Katie Tippel,tt0073233,1975,P,Netherlands,3,N/A,R,Drama,0,0,M,6.7
Assault on Precinct 13,tt0074156,1976,P,USA,0,Turtle Releasing,R,Action,0,1,M,7.4
Network,tt0074958,1976,P,USA,0,MGM/United Artists,R,Drama,0,0,F,8.1
Bugsy Malone,tt0074256,1976,P,UK,0,Paramount Pictures,G,Comedy,0,1,M,6.9
"Omen, The",tt0075005,1976,P,UK,0,20th Century Fox,R,Horror,0,1,M,7.6
"Desert of the Tartars, The",tt0074400,1976,F,Italy,0,France 3 Cinéma,PG,Drama,0,0,M,7.6
In the Realm of the Senses,tt0074102,1976,P,Japan,2,Surrogate,NC-17,Biography,0,0,M,6.6
Suspiria,tt0076786,1977,P,Italy,0,International Classics Inc.,R,Horror,0,1,M,7.5
Desperate Living,tt0075936,1977,P,USA,3,WARNER BROTHERS PICTURES,N/A,Comedy,0,1,M,7.2
Sluzhebnyy roman,tt0076727,1977,P,Soviet Union,1,N/A,N/A,Comedy,0,0,M,8.4
Annie Hall,tt0075686,1977,P,USA,0,United Artists,PG,Comedy,0,1,M,8.0
Ringing Bell (Chirin no Suzu),tt0306646,1978,F,Japan,1,N/A,N/A,Animation,0,0,M,7.3
Quel maledetto treno blindato,tt0076584,1978,F,Italy,0,Severin Films,R,Action,1,3,M,6.6
A Woman Called Moses,tt0078509,1978,P,USA,0,,N/A,Biography,0,0,M,7.4
"Hound of the Baskervilles, The",tt0076161,1978,P,UK,0,Atlantic Releasing Corporation,NOT RATED,Comedy,0,3,M,4.6
Days of Heaven,tt0077405,1978,P,USA,1,Paramount Pictures,PG,Drama,0,1,M,7.9
Mad Max,tt0079501,1979,P,Australia,0,s,R,Action,0,4,M,7.0
Angels&#39; Brigade,tt0078778,1979,P,USA,2,Arista Films,PG,Action,0,1,M,1.9
Rock &#39;n&#39; Roll High School,tt0079813,1979,P,USA,0,New World Pictures,PG,Comedy,0,4,M,6.8
Life of Brian,tt0079470,1979,P,UK,0,Warner Bros. Pictures,R,Comedy,0,6,M,8.1
"Black Hole, The",tt0078869,1979,F,USA,0,Walt Disney Productions,PG,Action,0,1,M,5.9
Hair,tt0079261,1979,P,West Germany,1,United Artists,PG,Comedy,0,2,M,7.6
My Brilliant Career,tt0079596,1979,P,Australia,3,Westchester Films,G,Biography,1,1,F,7.3
"Bell Jar, The",tt0078843,1979,P,USA,2,AVCO Embassy Pictures,R,Biography,1,0,M,5.7
Friday the 13th,tt0080761,1980,P,USA,0,Paramount Pictures,R,Horror,0,1,M,6.5
Heaven&#39;s Gate,tt0080855,1980,F,USA,0,MGM/UA,R,Adventure,0,1,M,6.8
"Final Countdown, The",tt0080736,1980,F,USA,0,Live Home Video,PG,Action,0,6,M,6.7
Maniac,tt0081114,1980,P,USA,2,Analysis,R,Drama,0,2,M,6.5
"Mirror Crack&#39;d, The",tt0081163,1980,P,UK,1,Anchor Bay Entertainment,PG,Crime,0,1,M,6.2
Ms. 45,tt0082776,1981,P,USA,1,Rochelle Films,R,Crime,0,1,M,6.8
Polyester,tt0082926,1981,P,USA,7,New Line Cinema,R,Comedy,0,1,M,7.0
Christiane F. - Wir Kinder vom Bahnhof Zoo,tt0082176,1981,P,West Germany,2,Maran Film,R,Biography,0,1,M,7.6
Das Boot,tt0082096,1981,F,West Germany,0,Columbia Pictures,R,Adventure,0,0,M,8.4
...E tu vivrai nel terrore! L&#39;aldila (The Beyond),tt0082307,1981,P,Italy,2,Rolling Thunder,R,Horror,0,0,M,6.9
Umrao Jaan,tt0083248,1981,P,India,0,N/A,N/A,Drama,0,0,M,7.9
"Howling, The",tt0082533,1981,P,USA,0,MGM Home Entertainment,R,Horror,0,2,M,6.6
Mommy Dearest,tt0082766,1981,P,USA,2,Paramount Pictures,R,Biography,1,3,M,6.7
Southern Comfort,tt0083111,1981,F,USA,0,20th Century Fox Film Corporation,R,Action,0,3,M,7.2
"Prowler, The",tt0082951,1981,P,USA,0,Fangoria,R,Horror,1,4,M,6.1
Forbidden World,tt0083959,1982,P,USA,0,New World Pictures,R,Horror,0,0,M,5.3
Smithereens,tt0084698,1982,P,USA,0,FilmBuff,R,Drama,1,1,F,6.7
First Blood,tt0083944,1982,F,USA,0,Orion Pictures,R,Action,0,3,M,7.7
Friday the 13th Part III,tt0083972,1982,P,USA,0,Paramount Home Video,R,Horror,0,2,M,5.7
TRON,tt0084827,1982,F,USA,0,Buena Vista Pictures,PG,Action,0,2,M,6.8
Annie,tt0083564,1982,P,USA,2,Columbia Pictures,PG,Comedy,0,1,M,6.5
Star Trek: The Wrath of Khan,tt0084726,1982,P,USA,0,Paramount Pictures,PG,Action,0,2,M,7.7
Finye (The Wind),tt0083942,1982,P,Mali,1,Cissé/Sisé Filimu,N/A,Drama,0,0,M,6.7
"Ladies and Gentlemen, the Fabulous Stains",tt0082639,1982,P,USA,3,Paramount Pictures,R,Comedy,1,0,M,6.9
"State of Things, The",tt0084725,1982,P,Netherlands,0,Pacific Arts,N/A,Drama,0,2,M,7.1
E.T.: The Extra-Terrestrial,tt0083866,1982,P,USA,0,Universal Pictures,PG,Family,1,0,M,7.9
"Ballad of Narayama, The",tt0084390,1983,P,Japan,3,Toei Company,NOT RATED,Drama,0,0,M,7.9
Go for It,tt0085601,1983,F,Italy,0,Lionsgate Films,N/A,Action,0,1,M,7.2
El Norte,tt0085482,1983,P,UK,0,Criterion Collection,R,Drama,1,1,M,7.7
Educating Rita,tt0085478,1983,P,UK,3,Columbia Pictures Corporation,PG,Comedy,0,0,M,7.2
Silkwood,tt0086312,1983,P,USA,1,20th Century Fox,R,Biography,2,0,M,7.2
Jaws 3-D,tt0085750,1983,P,USA,0,MCA Universal Home Video,PG,Adventure,0,3,M,3.6
Johnny Dangerously,tt0087507,1984,P,USA,1,Twentieth Century Fox Home Entertainment,PG-13,Comedy,0,1,F,6.5
Night of the Comet,tt0087799,1984,P,USA,0,Paramount Pictures,PG-13,Comedy,0,0,M,6.4
Friday the 13th Part IV: The Final Chapter,tt0087298,1984,P,USA,0,Paramount Home Video,R,Horror,0,3,M,6.0
A Private Function,tt0089838,1984,P,UK,0,Island Alive,R,Comedy,0,3,M,6.6
"Muppets Take Manhattan, The",tt0087755,1984,P,USA,0,Sony Pictures Home Entertainment,G,Adventure,0,3,M,6.9
"Bostonians, The",tt0086992,1984,P,UK,2,Rank Organisation,NOT RATED,Drama,1,1,M,6.3
Purple Rain,tt0087957,1984,P,USA,0,Warner Home Video,R,Drama,0,2,M,6.5
"Trip To Bountiful, The",tt0090203,1985,P,USA,2,Nelson Entertainment,PG,Drama,0,0,M,7.6
Girls Just Want to Have Fun,tt0089208,1985,P,USA,1,New World Video,PG,Comedy,1,0,M,6.0
Red Sonja,tt0089893,1985,P,USA,1,MGM/UA,PG-13,Action,0,2,M,5.0
"Quiet Earth, The",tt0089869,1985,F,New Zealand,0,Anchor Bay Entertainment,R,Drama,0,3,M,6.8
"Color Purple, The",tt0088939,1985,P,USA,3,Warner Home Video,PG-13,Drama,1,0,M,7.8
Dim Sum: A Little Bit of Heart,tt0087150,1985,P,USA,3,Orion Classics,PG,Comedy,0,0,M,6.6
Clue,tt0088930,1985,P,USA,0,Paramount Pictures,PG,Comedy,0,3,M,7.3
Purple Rose of Cairo,tt0089853,1985,P,USA,0,Orion Pictures Corporation,PG,Comedy,0,0,M,7.7
"Legend of Billie Jean, The",tt0089470,1985,P,USA,2,TriStar Pictures,PG-13,Action,0,2,M,6.6
Phenomena,tt0087909,1985,P,Italy,2,Media Home Entertainment,R,Horror,0,4,M,6.9
"Breakfast Club, The",tt0088847,1985,P,USA,0,Universal Pictures,R,Comedy,0,1,M,7.9
Desperately Seeking Susan,tt0089017,1985,P,USA,1,MGM Home Entertainment,PG-13,Comedy,0,0,F,5.9
Ferris Bueller&#39;s Day Off,tt0091042,1986,P,USA,0,Paramount Pictures,PG-13,Comedy,0,1,M,7.8
"Parent Trap II, The",tt0091721,1986,P,USA,0,Walt Disney Television,NOT RATED,Family,0,0,M,6.3
Aliens,tt0090605,1986,P,USA,0,20th Century Fox Film Corporat,R,Action,0,5,M,8.4
Howard The Duck,tt0091225,1986,P,USA,0,Universal Pictures,PG,Action,1,1,M,4.6
Pretty in Pink,tt0091790,1986,P,USA,2,Paramount Pictures,PG-13,Comedy,0,1,M,6.8
An American Tail,tt0090633,1986,P,USA,0,Universal Pictures,G,Animation,0,3,M,6.9
Project A-ko,tt0091794,1986,P,Japan,1,N/A,UNRATED,Animation,0,0,M,7.1
Big Trouble in Little China,tt0090728,1986,P,USA,0,Twentieth Century Fox,PG-13,Action,0,2,M,7.3
Star Trek IV:  The Voyage Home,tt0092007,1986,P,USA,0,Paramount Pictures,PG,Adventure,0,4,M,7.3
Pirates,tt0091757,1986,F,France,0,Cannon Film Distributors,PG-13,Adventure,0,2,M,6.1
Ruthless People,tt0091877,1986,P,USA,1,Buena Vista Pictures,R,Comedy,0,1,M,6.9
Short Circuit,tt0091949,1986,P,USA,0,Twentieth Century Fox Home Entertainment,PG,Comedy,0,1,M,6.6
Stand By Me,tt0092005,1986,F,USA,0,MCA Universal Home Video,R,Adventure,0,2,M,8.1
Peking Opera Blues,tt0090952,1986,P,Hong Kong,0,Gordons Films,TV-14,Comedy,0,1,M,7.4
Swimming to Cambodia,tt0094089,1987,F,USA,0,Cinecom Pictures,R,Comedy,0,0,M,7.7
I&#39;ve Heard the Mermaids Singing,tt0093239,1987,P,Canada,1,New Line Home Entertainment,R,Comedy,1,0,F,6.9
Dragnet,tt0092925,1987,P,USA,0,MCA Universal Home Video,PG-13,Comedy,0,1,M,5.9
"Wonderful Wizard of Oz, The",tt0098675,1987,P,Canada,2,Lightyear Entertainment,N/A,Animation,0,0,M,7.7
"Whales Of August, The",tt0094315,1987,P,USA,0,Nelson Entertainment,NOT RATED,Drama,0,2,F,7.5
Fatal Attraction,tt0093010,1987,P,USA,0,Paramount Pictures,R,Drama,0,2,M,6.9
Light of Day,tt0093415,1987,P,USA,0,TAFT Entertainment Pictures,PG-13,Drama,0,1,M,5.5
"Witches of Eastwick, The",tt0094332,1987,P,USA,1,Warner Home Video,R,Comedy,0,2,M,6.5
Black Widow,tt0090738,1987,P,USA,1,Twentieth Century Fox Home Entertainment,R,Crime,0,1,M,6.3
Broadcast News,tt0092699,1987,P,USA,0,Twentieth Century Fox Home Entertainment,R,Comedy,0,1,M,7.2
Outrageous Fortune,tt0093690,1987,P,USA,1,Touchstone Pictures,R,Comedy,1,0,M,6.1
Ngati,tt0093615,1987,P,New Zealand,0,Pacific Film,N/A,Drama,0,0,M,7.5
Full Metal Jacket,tt0093058,1987,F,UK,0,Warner Bros.,R,Drama,0,2,M,8.3
Spaceballs,tt0094012,1987,P,USA,0,MGM,PG,Adventure,0,1,M,7.1
High Tide,tt0095305,1987,P,Australia,4,New Line Home Entertainment,PG-13,Drama,1,0,F,7.2
Creepshow 2,tt0092796,1987,P,USA,0,New World Video,R,Comedy,0,2,M,6.1
El bosque animado,tt0092693,1987,P,Spain,0,N/A,N/A,Comedy,0,1,M,7.5
Prince of Darkness,tt0093777,1987,P,USA,0,MCA Universal Home Video,R,Horror,0,1,M,6.7
"Last Emperor, The",tt0093389,1987,P,UK,0,Columbia Pictures,PG-13,Biography,0,2,M,7.8
Adventures in Babysitting,tt0092513,1987,P,USA,2,Touchstone Pictures,PG-13,Adventure,0,1,M,6.9
Willow,tt0096446,1988,P,USA,0,MGM Home Entertainment,PG,Action,0,1,M,7.3
Maniac Cop,tt0095583,1988,P,USA,0,Trans World Entertainment,R,Action,0,1,M,6.0
Hell Comes to Frogtown,tt0093171,1988,P,USA,1,New World Pictures,R,Action,0,3,M,5.5
"Distant Voices, Still Lives",tt0095037,1988,P,UK,0,Film Four International,PG-13,Drama,0,0,M,7.5
Heathers,tt0097493,1988,P,USA,1,New World Video,R,Comedy,0,1,M,7.3
Die Hard,tt0095016,1988,P,USA,1,20th Century Fox,R,Action,0,2,M,8.2
A Fish Called Wanda,tt0095159,1988,P,UK,0,MGM,R,Comedy,0,3,M,7.6
Dangerous Liaisons,tt0094947,1988,P,USA,2,Warner Home Video,R,Drama,0,2,M,7.6
Mystic Pizza,tt0095690,1988,P,USA,0,MGM Home Entertainment,R,Comedy,2,2,M,6.2
Rock &#39;n&#39; Roll Mom,tt0096001,1988,P,USA,0,,Unrated,Adventure,0,0,M,5.9
Grave of the Fireflies,tt0095327,1988,F,Japan,0,Shinchosha Company,NOT RATED,Animation,0,0,M,8.5
Oranges Are Not The Only Fruit,tt0098032,1989,P,UK,2,,N/A,Drama,0,0,M,7.7
Back to the Future Part II,tt0096874,1989,P,USA,0,Universal Pictures,PG,Adventure,0,2,M,7.8
"Honey, I Shrunk the Kids",tt0097523,1989,P,USA,1,Disney,PG,Adventure,0,1,M,6.3
"Delinquents, The",tt0097182,1989,P,Australia,0,N/A,N/A,Drama,0,1,M,5.6
Crimes and Misdemeanors,tt0097123,1989,P,USA,2,Orion Pictures Corporation,PG-13,Comedy,0,0,M,8.0
Born on the Fourth of July,tt0096969,1989,P,USA,0,Universal Pictures,R,Biography,0,1,M,7.2
Friday the 13th Part VIII: Jason Takes Manhattan,tt0097388,1989,P,USA,0,Paramount Home Video,R,Adventure,0,1,M,4.6
Loverboy,tt0097790,1989,P,USA,0,Sony Pictures Home Entertainment,PG-13,Comedy,1,0,M,6.0
"Get Smart, Again!",tt0097423,1989,P,USA,0,Worldvision Home Video,NOT RATED,Comedy,0,3,M,6.4
When Harry Met Sally,tt0098635,1989,P,USA,0,Columbia Pictures,R,Comedy,1,0,M,7.6
Mystery Train,tt0097940,1989,P,USA,0,Orion Home Video,R,Comedy,0,0,M,7.6
Leningrad Cowboys Go America,tt0097728,1989,F,Finland,0,Criterion Collection,PG-13,Comedy,0,0,M,7.0
She-Devil,tt0098309,1989,P,USA,1,20th Century Fox,PG-13,Comedy,0,1,F,5.5
Henry V,tt0097499,1989,P,UK,0,MGM Home Entertainment,PG-13,Action,0,2,M,7.6
A Nightmare on Elm Street 5: The Dream Child,tt0097981,1989,P,USA,1,New Line Cinema,R,Fantasy,2,2,M,5.1
Life Is Sweet,tt0100024,1990,P,UK,1,Republic Pictures Home Video,R,Comedy,0,1,M,7.5
Goodfellas,tt0099685,1990,P,USA,1,Warner Bros.,R,Crime,0,3,M,8.7
"Godfather: Part III, The",tt0099674,1990,P,USA,0,Paramount Pictures,R,Crime,0,2,M,7.6
Pretty Woman,tt0100405,1990,P,USA,0,Buena Vista,R,Comedy,0,0,M,7.0
Happily Ever After,tt0099733,1990,P,USA,3,N/A,G,Family,1,0,M,5.1
Child&#39;s Play 2,tt0099253,1990,P,USA,1,MCA Universal Home Video,R,Horror,0,0,M,5.8
A Tale of Springtime,tt0097106,1990,P,France,2,Orion Classics,PG,Comedy,0,0,M,7.4
"Long Walk Home, The",tt0100046,1990,P,USA,1,Miramax,PG,Drama,0,1,M,7.3
I Hired a Contract Killer,tt0099818,1990,F,Finland,0,N/A,NOT RATED,Comedy,0,1,M,7.3
Die Hard 2,tt0099423,1990,P,USA,0,20th Century Fox,R,Action,0,2,M,7.1
Where the Heart Is,tt0100924,1990,P,USA,0,Touchstone Pictures,R,Comedy,0,1,M,6.1
Metropolitan,tt0100142,1990,P,USA,0,Rialto Pictures,PG-13,Comedy,0,0,M,7.5
Toy Soldiers,tt0103112,1991,F,USA,0,Sony Pictures Home Entertainment,R,Action,0,3,M,6.5
An American Tail: Fievel Goes West,tt0101329,1991,P,USA,0,Universal Pictures,G,Animation,0,2,M,6.5
Critters 3,tt0101627,1991,P,USA,0,WARNER BROTHERS PICTURES,PG-13,Comedy,0,1,M,4.3
Don&#39;t Tell Mom the Babysitter&#39;s Dead,tt0101757,1991,P,USA,0,N/A,PG-13,Comedy,1,1,M,6.1
Impromptu,tt0102103,1991,P,UK,1,MGM Home Entertainment,PG-13,Biography,1,0,M,7.0
Life Stinks,tt0102303,1991,F,USA,0,MGM,PG-13,Comedy,0,4,M,5.8
"Princess and the Goblin, The",tt0107875,1991,P,UK,2,GT Media,G,Animation,0,1,M,6.9
