inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
27,1:good,1:good,,0.951,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6
28,2:bad,2:bad,,1,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8
29,1:good,1:good,,0.971,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7
30,2:bad,2:bad,,1,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
31,2:bad,2:bad,,0.993,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5
32,2:bad,2:bad,,0.971,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10
33,1:good,1:good,,0.971,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7
34,2:bad,2:bad,,1,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
35,1:good,1:good,,0.951,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7
36,1:good,1:good,,0.857,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12
37,2:bad,2:bad,,0.933,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3
38,2:bad,2:bad,,0.993,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9
39,2:bad,2:bad,,0.993,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10
40,2:bad,2:bad,,0.993,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
41,2:bad,2:bad,,0.993,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
42,2:bad,2:bad,,0.993,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9
43,1:good,1:good,,0.951,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6
44,1:good,1:good,,0.951,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6
45,1:good,1:good,,0.857,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5
46,1:good,1:good,,0.857,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4
47,2:bad,2:bad,,0.993,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1
48,2:bad,2:bad,,1,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
49,2:bad,2:bad,,0.933,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
50,2:bad,2:bad,,1,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4
51,2:bad,2:bad,,0.97,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9
52,2:bad,2:bad,,1,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
53,2:bad,2:bad,,0.933,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
54,2:bad,2:bad,,1,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3
55,2:bad,2:bad,,0.97,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9
56,2:bad,2:bad,,0.993,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
57,2:bad,2:bad,,0.993,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
58,2:bad,2:bad,,0.993,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
59,2:bad,2:bad,,0.971,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7
60,2:bad,2:bad,,0.993,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
61,2:bad,2:bad,,0.993,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2
62,2:bad,2:bad,,1,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2
63,2:bad,2:bad,,0.833,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8
64,2:bad,2:bad,,0.933,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7
65,2:bad,2:bad,,1,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5
66,1:good,1:good,,1,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7
67,1:good,1:good,,0.974,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9
68,2:bad,2:bad,,0.75,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6
69,1:good,1:good,,1,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7
70,2:bad,2:bad,,0.993,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9
71,2:bad,2:bad,,1,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2
72,2:bad,2:bad,,0.993,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9
73,2:bad,2:bad,,0.97,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6
74,2:bad,2:bad,,0.993,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
75,1:good,1:good,,0.971,6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8
76,2:bad,2:bad,,1,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2
77,2:bad,2:bad,,0.993,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
78,2:bad,2:bad,,0.993,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9
79,1:good,1:good,,0.974,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12
80,1:good,1:good,,1,7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5
81,2:bad,2:bad,,0.683,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4
82,1:good,1:good,,0.951,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4
83,1:good,1:good,,0.951,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1
84,1:good,1:good,,0.951,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1
85,1:good,1:good,,0.951,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4
86,2:bad,2:bad,,0.92,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1
87,2:bad,2:bad,,1,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6
88,2:bad,2:bad,,1,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5
89,2:bad,2:bad,,0.933,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8
90,1:good,1:good,,0.951,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6
91,2:bad,2:bad,,0.993,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3
92,2:bad,2:bad,,0.993,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10
93,2:bad,2:bad,,0.969,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4
94,1:good,1:good,,0.974,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5
95,2:bad,2:bad,,0.875,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2
96,2:bad,1:good,+,0.951,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6
97,2:bad,2:bad,,0.92,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4
98,2:bad,2:bad,,0.993,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7
99,2:bad,2:bad,,0.993,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2
100,2:bad,2:bad,,0.97,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
101,2:bad,2:bad,,0.993,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3
102,2:bad,2:bad,,0.993,6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3
103,2:bad,1:good,+,0.974,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11
104,1:good,1:good,,0.951,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7
105,2:bad,2:bad,,0.993,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9
106,2:bad,2:bad,,0.97,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
107,2:bad,2:bad,,0.933,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6
108,2:bad,2:bad,,0.993,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1
109,2:bad,2:bad,,0.993,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1
110,2:bad,2:bad,,0.993,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
111,2:bad,2:bad,,0.993,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
112,2:bad,2:bad,,0.993,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
113,2:bad,2:bad,,0.97,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3
114,2:bad,2:bad,,0.993,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
115,2:bad,2:bad,,0.993,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6
116,2:bad,2:bad,,1,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2
117,2:bad,2:bad,,0.92,6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8
118,2:bad,2:bad,,1,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
119,2:bad,2:bad,,0.993,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9
120,2:bad,2:bad,,1,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2
121,2:bad,2:bad,,0.882,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5
122,1:good,1:good,,0.857,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2
123,2:bad,2:bad,,1,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
124,1:good,1:good,,0.974,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1
125,2:bad,2:bad,,0.993,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
126,2:bad,2:bad,,1,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
127,2:bad,2:bad,,0.993,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
128,2:bad,2:bad,,0.97,5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4
129,2:bad,2:bad,,1,7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11
130,2:bad,2:bad,,1,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
131,1:good,1:good,,0.974,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1
132,2:bad,2:bad,,1,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
133,2:bad,2:bad,,1,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
134,2:bad,2:bad,,0.993,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9
135,1:good,2:bad,+,0.917,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1
136,2:bad,2:bad,,0.889,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7
137,2:bad,2:bad,,0.944,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4
138,1:good,1:good,,1,7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4
139,2:bad,2:bad,,0.993,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
140,1:good,1:good,,0.951,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6
141,1:good,1:good,,0.974,5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9
142,1:good,1:good,,0.974,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9
143,2:bad,2:bad,,0.993,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10
144,2:bad,2:bad,,0.92,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10
145,2:bad,2:bad,,0.97,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8
146,2:bad,2:bad,,0.993,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
147,2:bad,2:bad,,0.969,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7
148,1:good,2:bad,+,0.993,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6
149,1:good,1:good,,1,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11
150,1:good,1:good,,1,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11
151,2:bad,2:bad,,0.969,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4
152,2:bad,2:bad,,0.97,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
153,2:bad,2:bad,,1,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2
154,2:bad,2:bad,,0.97,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
155,2:bad,2:bad,,0.993,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7
156,2:bad,2:bad,,0.993,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7
157,2:bad,2:bad,,1,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3
158,2:bad,2:bad,,0.993,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9
159,2:bad,2:bad,,0.993,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5
160,2:bad,2:bad,,0.875,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6
161,2:bad,2:bad,,0.875,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6
162,1:good,1:good,,0.951,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4
163,1:good,1:good,,0.951,7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6
164,1:good,1:good,,0.951,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3
165,2:bad,2:bad,,1,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5
166,2:bad,2:bad,,0.97,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3
167,2:bad,2:bad,,0.97,7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8
168,2:bad,2:bad,,0.993,7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8
169,1:good,1:good,,0.938,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
170,1:good,1:good,,0.938,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
171,1:good,1:good,,0.938,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
172,1:good,1:good,,0.938,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
173,2:bad,2:bad,,0.97,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1
174,1:good,1:good,,1,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8
175,2:bad,2:bad,,0.993,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5
176,2:bad,2:bad,,0.993,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4
177,1:good,1:good,,0.941,7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2
178,2:bad,2:bad,,0.993,7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9
179,1:good,1:good,,1,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4
180,1:good,1:good,,0.962,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5
181,1:good,1:good,,0.951,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5
182,2:bad,2:bad,,0.993,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10
183,2:bad,2:bad,,0.882,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
184,1:good,1:good,,0.962,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5
185,1:good,1:good,,1,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3
186,2:bad,2:bad,,0.882,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
187,2:bad,2:bad,,0.969,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4
188,2:bad,2:bad,,1,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5
189,2:bad,2:bad,,0.683,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4
190,1:good,1:good,,0.951,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5
191,2:bad,2:bad,,0.683,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6
192,2:bad,2:bad,,0.993,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8
193,2:bad,2:bad,,1,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8
194,2:bad,2:bad,,0.971,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4
195,1:good,1:good,,0.971,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2
196,1:good,1:good,,0.938,7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9
197,2:bad,2:bad,,0.993,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10
198,1:good,1:good,,0.974,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2
199,2:bad,2:bad,,1,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10
200,1:good,1:good,,0.974,6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4
201,1:good,1:good,,1,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9
202,1:good,1:good,,1,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9
203,2:bad,2:bad,,0.993,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9
204,1:good,1:good,,1,6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4
205,1:good,1:good,,0.951,6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3
206,2:bad,2:bad,,0.75,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6
207,2:bad,2:bad,,0.993,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10
208,1:good,1:good,,0.951,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5
209,1:good,1:good,,0.951,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5
210,1:good,1:good,,1,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4
211,1:good,1:good,,0.938,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10
212,1:good,1:good,,1,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4
213,1:good,1:good,,0.938,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10
214,1:good,1:good,,0.974,6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3
215,1:good,1:good,,0.951,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5
216,1:good,1:good,,0.875,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8
217,2:bad,2:bad,,0.993,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1
218,1:good,1:good,,0.9,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3
219,1:good,1:good,,0.9,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3
220,2:bad,2:bad,,1,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6
221,2:bad,2:bad,,0.993,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
222,2:bad,2:bad,,0.993,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
223,2:bad,1:good,+,0.6,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
224,2:bad,2:bad,,0.97,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4
225,2:bad,2:bad,,0.993,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
226,2:bad,2:bad,,0.993,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2
227,2:bad,2:bad,,0.97,7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7
228,2:bad,2:bad,,0.993,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
229,1:good,1:good,,0.951,5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8
230,2:bad,2:bad,,0.993,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4
231,2:bad,1:good,+,0.6,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
232,2:bad,2:bad,,0.683,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5
233,2:bad,2:bad,,0.683,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5
234,2:bad,2:bad,,0.993,6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9
235,1:good,1:good,,0.951,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7
236,1:good,2:bad,+,0.683,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5
237,2:bad,2:bad,,0.993,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4
238,2:bad,2:bad,,1,7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1
239,2:bad,2:bad,,0.889,7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3
240,2:bad,2:bad,,0.993,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4
241,2:bad,2:bad,,0.993,6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8
242,1:good,1:good,,0.938,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9
243,2:bad,2:bad,,0.993,7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2
244,1:good,1:good,,0.951,7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1
245,1:good,1:good,,0.951,6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2
246,2:bad,2:bad,,0.993,6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8
